dispositif,volet,nombre_aides,nombre_entreprises,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,VOLET1,15188,6443,23910344.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,19,8,24026.00,84,Auvergne-Rhône-Alpes,B,Industries extractives
Fonds de solidarité,VOLET1,30239,10806,45924165.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière
Fonds de solidarité,VOLET1,366,101,718533.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,1574,548,2199818.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,71739,30856,109203147.00,84,Auvergne-Rhône-Alpes,F,Construction
Fonds de solidarité,VOLET1,117228,37804,243303942.00,84,Auvergne-Rhône-Alpes,G,Commerce
Fonds de solidarité,VOLET1,43191,9520,81732944.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage
Fonds de solidarité,VOLET1,124025,27425,383918238.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration
Fonds de solidarité,VOLET1,14920,4457,25031365.00,84,Auvergne-Rhône-Alpes,J,Information et communication
Fonds de solidarité,VOLET1,5634,1930,9228317.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,22288,7505,40029210.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières
Fonds de solidarité,VOLET1,70932,23384,127473371.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,34193,10574,62372511.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,15,6,66982.00,84,Auvergne-Rhône-Alpes,O,Administration publique
Fonds de solidarité,VOLET1,70052,18173,107557630.00,84,Auvergne-Rhône-Alpes,P,Enseignement
Fonds de solidarité,VOLET1,53250,23405,71113947.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,57280,12278,103904914.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,79783,23431,137059281.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services
Fonds de solidarité,VOLET1,5332,2335,9131573.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,14,6,30062.00,27,Bourgogne-Franche-Comté,B,Industries extractives
Fonds de solidarité,VOLET1,8219,3057,11980121.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière
Fonds de solidarité,VOLET1,23,10,31150.00,27,Bourgogne-Franche-Comté,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,647,233,986624.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,16923,7773,25121617.00,27,Bourgogne-Franche-Comté,F,Construction
Fonds de solidarité,VOLET1,34975,11655,69564609.00,27,Bourgogne-Franche-Comté,G,Commerce
Fonds de solidarité,VOLET1,4601,1441,8331537.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage
Fonds de solidarité,VOLET1,34999,7694,100166820.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration
Fonds de solidarité,VOLET1,2631,796,4319208.00,27,Bourgogne-Franche-Comté,J,Information et communication
Fonds de solidarité,VOLET1,1226,437,1863566.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,4502,1576,7413329.00,27,Bourgogne-Franche-Comté,L,Activités immobilières
Fonds de solidarité,VOLET1,13426,4540,24451458.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,6649,2152,11569757.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,16,3,21762.00,27,Bourgogne-Franche-Comté,O,Administration publique
Fonds de solidarité,VOLET1,10108,2646,15027753.00,27,Bourgogne-Franche-Comté,P,Enseignement
Fonds de solidarité,VOLET1,11640,5227,15397725.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,14186,2990,24544749.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,24302,7137,42433374.00,27,Bourgogne-Franche-Comté,S,Autres activités de services
Fonds de solidarité,VOLET1,4022,1622,6345564.00,53,Bretagne,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,15,5,23597.00,53,Bretagne,B,Industries extractives
Fonds de solidarité,VOLET1,11108,4013,15870743.00,53,Bretagne,C,Industrie manufacturière
Fonds de solidarité,VOLET1,29,12,44796.00,53,Bretagne,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,381,154,539475.00,53,Bretagne,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,18036,8868,26710636.00,53,Bretagne,F,Construction
Fonds de solidarité,VOLET1,37681,12672,80298744.00,53,Bretagne,G,Commerce
Fonds de solidarité,VOLET1,6300,1792,11320701.00,53,Bretagne,H,Transports et entreposage
Fonds de solidarité,VOLET1,46116,10619,139127867.00,53,Bretagne,I,Hébergement et restauration
Fonds de solidarité,VOLET1,4516,1351,7608626.00,53,Bretagne,J,Information et communication
Fonds de solidarité,VOLET1,1640,595,2695240.00,53,Bretagne,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,6380,2277,10559341.00,53,Bretagne,L,Activités immobilières
Fonds de solidarité,VOLET1,20125,6954,37054940.00,53,Bretagne,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,8138,2781,14036671.00,53,Bretagne,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,11137,3009,17475862.00,53,Bretagne,P,Enseignement
Fonds de solidarité,VOLET1,19099,8807,25585761.00,53,Bretagne,Q,Santé humaine et action sociale
