dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section
Prêts garantis par l'Etat,946.00,56690229.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,4707.00,1753971421.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière
Prêts garantis par l'Etat,6.00,317500.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,83.00,33007428.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,7273.00,920641355.00,84,Auvergne-Rhône-Alpes,F,Construction
Prêts garantis par l'Etat,13452.00,2814803636.00,84,Auvergne-Rhône-Alpes,G,Commerce
Prêts garantis par l'Etat,1266.00,264679668.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage
Prêts garantis par l'Etat,8488.00,669242946.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration
Prêts garantis par l'Etat,894.00,232518114.00,84,Auvergne-Rhône-Alpes,J,Information et communication
Prêts garantis par l'Etat,802.00,617895572.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance
Prêts garantis par l'Etat,1130.00,92606041.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières
Prêts garantis par l'Etat,4436.00,910252489.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,1757.00,224574505.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,1023.00,58470061.00,84,Auvergne-Rhône-Alpes,P,Enseignement
Prêts garantis par l'Etat,3420.00,208982521.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,921.00,97313022.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,3535.00,95708003.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services
Prêts garantis par l'Etat,396.00,34007020.00,84,Auvergne-Rhône-Alpes,Z,Non connu
Prêts garantis par l'Etat,693.00,64270567.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,4.00,944500.00,27,Bourgogne-Franche-Comté,B,Industries extractives
Prêts garantis par l'Etat,1546.00,597770678.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière
Prêts garantis par l'Etat,18.00,2859250.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,2220.00,245109115.00,27,Bourgogne-Franche-Comté,F,Construction
Prêts garantis par l'Etat,4383.00,594086739.00,27,Bourgogne-Franche-Comté,G,Commerce
Prêts garantis par l'Etat,367.00,58699873.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage
Prêts garantis par l'Etat,2592.00,162419917.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration
Prêts garantis par l'Etat,183.00,25514899.00,27,Bourgogne-Franche-Comté,J,Information et communication
Prêts garantis par l'Etat,222.00,111936371.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance
Prêts garantis par l'Etat,307.00,23677081.00,27,Bourgogne-Franche-Comté,L,Activités immobilières
Prêts garantis par l'Etat,995.00,142863466.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,427.00,50909927.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,268.00,18320890.00,27,Bourgogne-Franche-Comté,P,Enseignement
Prêts garantis par l'Etat,1096.00,60134431.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,278.00,26576443.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,1249.00,30641797.00,27,Bourgogne-Franche-Comté,S,Autres activités de services
Prêts garantis par l'Etat,151.00,17765340.00,27,Bourgogne-Franche-Comté,Z,Non connu
Prêts garantis par l'Etat,261.00,21946538.00,53,Bretagne,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,1288.00,391724784.00,53,Bretagne,C,Industrie manufacturière
Prêts garantis par l'Etat,14.00,7802000.00,53,Bretagne,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,2198.00,267373734.00,53,Bretagne,F,Construction
Prêts garantis par l'Etat,4506.00,705387876.00,53,Bretagne,G,Commerce
Prêts garantis par l'Etat,328.00,62990063.00,53,Bretagne,H,Transports et entreposage
Prêts garantis par l'Etat,3518.00,223407747.00,53,Bretagne,I,Hébergement et restauration
Prêts garantis par l'Etat,215.00,57620471.00,53,Bretagne,J,Information et communication
Prêts garantis par l'Etat,248.00,571982231.00,53,Bretagne,K,Activités financières et d'assurance
Prêts garantis par l'Etat,317.00,40403872.00,53,Bretagne,L,Activités immobilières
Prêts garantis par l'Etat,1005.00,162524254.00,53,Bretagne,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,487.00,320876836.00,53,Bretagne,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,275.00,13443326.00,53,Bretagne,P,Enseignement
Prêts garantis par l'Etat,1231.00,58727460.00,53,Bretagne,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,291.00,39472674.00,53,Bretagne,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,1322.00,50105205.00,53,Bretagne,S,Autres activités de services
Prêts garantis par l'Etat,157.00,12841015.00,53,Bretagne,Z,Non connu
Prêts garantis par l'Etat,470.00,35418337.00,24,Centre-Val de Loire,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,1107.00,486076647.00,24,Centre-Val de Loire,C,Industrie manufacturière
Prêts garantis par l'Etat,2034.00,222237743.00,24,Centre-Val de Loire,F,Construction
Prêts garantis par l'Etat,3200.00,483618117.00,24,Centre-Val de Loire,G,Commerce
Prêts garantis par l'Etat,342.00,49423538.00,24,Centre-Val de Loire,H,Transports et entreposage
Prêts garantis par l'Etat,1980.00,118355143.00,24,Centre-Val de Loire,I,Hébergement et restauration
Prêts garantis par l'Etat,167.00,27991533.00,24,Centre-Val de Loire,J,Information et communication
Prêts garantis par l'Etat,190.00,138661349.00,24,Centre-Val de Loire,K,Activités financières et d'assurance
Prêts garantis par l'Etat,229.00,12515212.00,24,Centre-Val de Loire,L,Activités immobilières
Prêts garantis par l'Etat,832.00,119390882.00,24,Centre-Val de Loire,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,408.00,53004279.00,24,Centre-Val de Loire,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,226.00,12224455.00,24,Centre-Val de Loire,P,Enseignement
Prêts garantis par l'Etat,899.00,58697436.00,24,Centre-Val de Loire,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,273.00,36479968.00,24,Centre-Val de Loire,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,1056.00,23142049.00,24,Centre-Val de Loire,S,Autres activités de services
Prêts garantis par l'Etat,129.00,27627850.00,24,Centre-Val de Loire,Z,Non connu
Prêts garantis par l'Etat,117.00,12280666.00,94,Corse,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,234.00,46498535.00,94,Corse,C,Industrie manufacturière
Prêts garantis par l'Etat,12.00,5564141.00,94,Corse,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,581.00,81754083.00,94,Corse,F,Construction
Prêts garantis par l'Etat,1022.00,204010656.00,94,Corse,G,Commerce
Prêts garantis par l'Etat,98.00,44735655.00,94,Corse,H,Transports et entreposage
Prêts garantis par l'Etat,869.00,97494046.00,94,Corse,I,Hébergement et restauration
Prêts garantis par l'Etat,41.00,4307525.00,94,Corse,J,Information et communication
Prêts garantis par l'Etat,40.00,12472675.00,94,Corse,K,Activités financières et d'assurance
Prêts garantis par l'Etat,108.00,9232981.00,94,Corse,L,Activités immobilières
Prêts garantis par l'Etat,226.00,25026958.00,94,Corse,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,160.00,21460990.00,94,Corse,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,36.00,1904800.00,94,Corse,P,Enseignement
Prêts garantis par l'Etat,175.00,20422443.00,94,Corse,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,61.00,5535226.00,94,Corse,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,181.00,8425281.00,94,Corse,S,Autres activités de services
Prêts garantis par l'Etat,19.00,1639000.00,94,Corse,Z,Non connu
Prêts garantis par l'Etat,810.00,85285172.00,44,Grand Est,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,3.00,15969000.00,44,Grand Est,B,Industries extractives
Prêts garantis par l'Etat,2427.00,1134772655.00,44,Grand Est,C,Industrie manufacturière
Prêts garantis par l'Etat,48.00,10450210.00,44,Grand Est,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,4338.00,613806654.00,44,Grand Est,F,Construction
Prêts garantis par l'Etat,7274.00,1342950633.00,44,Grand Est,G,Commerce
Prêts garantis par l'Etat,670.00,172262368.00,44,Grand Est,H,Transports et entreposage
Prêts garantis par l'Etat,4475.00,369346108.00,44,Grand Est,I,Hébergement et restauration
Prêts garantis par l'Etat,364.00,52009202.00,44,Grand Est,J,Information et communication
Prêts garantis par l'Etat,477.00,354212403.00,44,Grand Est,K,Activités financières et d'assurance
Prêts garantis par l'Etat,550.00,49140045.00,44,Grand Est,L,Activités immobilières
Prêts garantis par l'Etat,2018.00,287479694.00,44,Grand Est,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,810.00,124530737.00,44,Grand Est,N,Activités de services administratifs et de soutien
