dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Prêts garantis par l'Etat,2196.00,115045820.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche",2021-05-14
Prêts garantis par l'Etat,18.00,6202000.00,84,Auvergne-Rhône-Alpes,B,Industries extractives,2021-05-14
Prêts garantis par l'Etat,7892.00,2803184806.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière,2021-05-14
Prêts garantis par l'Etat,21.00,834689.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-05-14
Prêts garantis par l'Etat,195.00,71012753.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-05-14
Prêts garantis par l'Etat,12554.00,1534327819.00,84,Auvergne-Rhône-Alpes,F,Construction,2021-05-14
Prêts garantis par l'Etat,19986.00,3851359244.00,84,Auvergne-Rhône-Alpes,G,Commerce,2021-05-14
Prêts garantis par l'Etat,2466.00,496959499.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage,2021-05-14
Prêts garantis par l'Etat,13299.00,1243049540.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration,2021-05-14
Prêts garantis par l'Etat,1691.00,425734501.00,84,Auvergne-Rhône-Alpes,J,Information et communication,2021-05-14
Prêts garantis par l'Etat,1457.00,1302330398.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance,2021-05-14
Prêts garantis par l'Etat,2003.00,209511579.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières,2021-05-14
Prêts garantis par l'Etat,7818.00,1690564268.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques",2021-05-14
Prêts garantis par l'Etat,3330.00,450615342.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien,2021-05-14
Prêts garantis par l'Etat,1780.00,115687753.00,84,Auvergne-Rhône-Alpes,P,Enseignement,2021-05-14
Prêts garantis par l'Etat,5434.00,340162718.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale,2021-05-14
Prêts garantis par l'Etat,1768.00,347455607.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives",2021-05-14
Prêts garantis par l'Etat,4972.00,162721889.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services,2021-05-14
Prêts garantis par l'Etat,74.00,9187731.00,84,Auvergne-Rhône-Alpes,Z,Non connu,2021-05-14
Prêts garantis par l'Etat,1339.00,112476114.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche",2021-05-14
Prêts garantis par l'Etat,14.00,4922500.00,27,Bourgogne-Franche-Comté,B,Industries extractives,2021-05-14
Prêts garantis par l'Etat,2350.00,920673842.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière,2021-05-14
Prêts garantis par l'Etat,67.00,13802754.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-05-14
Prêts garantis par l'Etat,3458.00,359269208.00,27,Bourgogne-Franche-Comté,F,Construction,2021-05-14
Prêts garantis par l'Etat,6093.00,930888048.00,27,Bourgogne-Franche-Comté,G,Commerce,2021-05-14
Prêts garantis par l'Etat,593.00,85477380.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage,2021-05-14
Prêts garantis par l'Etat,3575.00,239868338.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration,2021-05-14
Prêts garantis par l'Etat,292.00,39682053.00,27,Bourgogne-Franche-Comté,J,Information et communication,2021-05-14
Prêts garantis par l'Etat,379.00,308879769.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance,2021-05-14
Prêts garantis par l'Etat,459.00,36239486.00,27,Bourgogne-Franche-Comté,L,Activités immobilières,2021-05-14
Prêts garantis par l'Etat,1568.00,242348516.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques",2021-05-14
Prêts garantis par l'Etat,719.00,118818118.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien,2021-05-14
Prêts garantis par l'Etat,423.00,25541224.00,27,Bourgogne-Franche-Comté,P,Enseignement,2021-05-14
Prêts garantis par l'Etat,1548.00,83125776.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale,2021-05-14
Prêts garantis par l'Etat,501.00,48123276.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives",2021-05-14
Prêts garantis par l'Etat,1584.00,41357558.00,27,Bourgogne-Franche-Comté,S,Autres activités de services,2021-05-14
Prêts garantis par l'Etat,33.00,3197813.00,27,Bourgogne-Franche-Comté,Z,Non connu,2021-05-14
Prêts garantis par l'Etat,659.00,62288605.00,53,Bretagne,A,"Agriculture, sylviculture et pêche",2021-05-14
Prêts garantis par l'Etat,4.00,978316.00,53,Bretagne,B,Industries extractives,2021-05-14
Prêts garantis par l'Etat,1973.00,567110161.00,53,Bretagne,C,Industrie manufacturière,2021-05-14
Prêts garantis par l'Etat,45.00,17154000.00,53,Bretagne,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-05-14
Prêts garantis par l'Etat,3293.00,424815823.00,53,Bretagne,F,Construction,2021-05-14
Prêts garantis par l'Etat,6112.00,1002040478.00,53,Bretagne,G,Commerce,2021-05-14
Prêts garantis par l'Etat,535.00,197643696.00,53,Bretagne,H,Transports et entreposage,2021-05-14
Prêts garantis par l'Etat,4929.00,330621609.00,53,Bretagne,I,Hébergement et restauration,2021-05-14
Prêts garantis par l'Etat,447.00,110553438.00,53,Bretagne,J,Information et communication,2021-05-14
Prêts garantis par l'Etat,415.00,1142202730.00,53,Bretagne,K,Activités financières et d'assurance,2021-05-14
Prêts garantis par l'Etat,491.00,51178594.00,53,Bretagne,L,Activités immobilières,2021-05-14
Prêts garantis par l'Etat,1804.00,336135916.00,53,Bretagne,M,"Activités spécialisées, scientifiques et techniques",2021-05-14
Prêts garantis par l'Etat,828.00,520688386.00,53,Bretagne,N,Activités de services administratifs et de soutien,2021-05-14
Prêts garantis par l'Etat,488.00,26581164.00,53,Bretagne,P,Enseignement,2021-05-14
Prêts garantis par l'Etat,1893.00,85456624.00,53,Bretagne,Q,Santé humaine et action sociale,2021-05-14
Prêts garantis par l'Etat,537.00,65912284.00,53,Bretagne,R,"Arts, spectacles et activités récréatives",2021-05-14
Prêts garantis par l'Etat,1751.00,68207216.00,53,Bretagne,S,Autres activités de services,2021-05-14
Prêts garantis par l'Etat,35.00,3924580.00,53,Bretagne,Z,Non connu,2021-05-14
Prêts garantis par l'Etat,882.00,64551184.00,24,Centre-Val de Loire,A,"Agriculture, sylviculture et pêche",2021-05-14
Prêts garantis par l'Etat,7.00,15303400.00,24,Centre-Val de Loire,B,Industries extractives,2021-05-14
Prêts garantis par l'Etat,1771.00,822937735.00,24,Centre-Val de Loire,C,Industrie manufacturière,2021-05-14
Prêts garantis par l'Etat,28.00,5778500.00,24,Centre-Val de Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-05-14
Prêts garantis par l'Etat,3104.00,317507369.00,24,Centre-Val de Loire,F,Construction,2021-05-14
Prêts garantis par l'Etat,4509.00,852894404.00,24,Centre-Val de Loire,G,Commerce,2021-05-14
Prêts garantis par l'Etat,584.00,71149094.00,24,Centre-Val de Loire,H,Transports et entreposage,2021-05-14
Prêts garantis par l'Etat,2911.00,183120750.00,24,Centre-Val de Loire,I,Hébergement et restauration,2021-05-14
Prêts garantis par l'Etat,312.00,51096497.00,24,Centre-Val de Loire,J,Information et communication,2021-05-14
Prêts garantis par l'Etat,316.00,317994665.00,24,Centre-Val de Loire,K,Activités financières et d'assurance,2021-05-14
Prêts garantis par l'Etat,380.00,20930560.00,24,Centre-Val de Loire,L,Activités immobilières,2021-05-14
Prêts garantis par l'Etat,1317.00,167548746.00,24,Centre-Val de Loire,M,"Activités spécialisées, scientifiques et techniques",2021-05-14
Prêts garantis par l'Etat,652.00,74594740.00,24,Centre-Val de Loire,N,Activités de services administratifs et de soutien,2021-05-14
Prêts garantis par l'Etat,394.00,23512140.00,24,Centre-Val de Loire,P,Enseignement,2021-05-14
Prêts garantis par l'Etat,1350.00,81674509.00,24,Centre-Val de Loire,Q,Santé humaine et action sociale,2021-05-14
Prêts garantis par l'Etat,480.00,58217529.00,24,Centre-Val de Loire,R,"Arts, spectacles et activités récréatives",2021-05-14
Prêts garantis par l'Etat,1395.00,33633133.00,24,Centre-Val de Loire,S,Autres activités de services,2021-05-14
Prêts garantis par l'Etat,46.00,23584176.00,24,Centre-Val de Loire,Z,Non connu,2021-05-14
Prêts garantis par l'Etat,258.00,19123933.00,94,Corse,A,"Agriculture, sylviculture et pêche",2021-05-14
Prêts garantis par l'Etat,381.00,83617446.00,94,Corse,C,Industrie manufacturière,2021-05-14
Prêts garantis par l'Etat,14.00,2131600.00,94,Corse,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-05-14
Prêts garantis par l'Etat,1014.00,144567673.00,94,Corse,F,Construction,2021-05-14
Prêts garantis par l'Etat,1623.00,325633895.00,94,Corse,G,Commerce,2021-05-14
Prêts garantis par l'Etat,185.00,105757270.00,94,Corse,H,Transports et entreposage,2021-05-14
Prêts garantis par l'Etat,1460.00,163644225.00,94,Corse,I,Hébergement et restauration,2021-05-14
Prêts garantis par l'Etat,87.00,10319390.00,94,Corse,J,Information et communication,2021-05-14
