dispositif,nombre_pge,montant_total,reg,libelle_region,dep,libelle_departement,code_section,libelle_section,date_maj
Prêts garantis par l'Etat,121.00,5899794.00,84,Auvergne-Rhône-Alpes,01,Ain,A,"Agriculture, sylviculture et pêche",2021-03-19
Prêts garantis par l'Etat,669.00,278408164.00,84,Auvergne-Rhône-Alpes,01,Ain,C,Industrie manufacturière,2021-03-19
Prêts garantis par l'Etat,14.00,4525000.00,84,Auvergne-Rhône-Alpes,01,Ain,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-03-19
Prêts garantis par l'Etat,998.00,101674319.00,84,Auvergne-Rhône-Alpes,01,Ain,F,Construction,2021-03-19
Prêts garantis par l'Etat,1258.00,288097781.00,84,Auvergne-Rhône-Alpes,01,Ain,G,Commerce,2021-03-19
Prêts garantis par l'Etat,124.00,11828024.00,84,Auvergne-Rhône-Alpes,01,Ain,H,Transports et entreposage,2021-03-19
Prêts garantis par l'Etat,777.00,58650084.00,84,Auvergne-Rhône-Alpes,01,Ain,I,Hébergement et restauration,2021-03-19
Prêts garantis par l'Etat,60.00,7960606.00,84,Auvergne-Rhône-Alpes,01,Ain,J,Information et communication,2021-03-19
Prêts garantis par l'Etat,69.00,35401205.00,84,Auvergne-Rhône-Alpes,01,Ain,K,Activités financières et d'assurance,2021-03-19
Prêts garantis par l'Etat,89.00,46416550.00,84,Auvergne-Rhône-Alpes,01,Ain,L,Activités immobilières,2021-03-19
Prêts garantis par l'Etat,398.00,109216089.00,84,Auvergne-Rhône-Alpes,01,Ain,M,"Activités spécialisées, scientifiques et techniques",2021-03-19
Prêts garantis par l'Etat,203.00,14935473.00,84,Auvergne-Rhône-Alpes,01,Ain,N,Activités de services administratifs et de soutien,2021-03-19
Prêts garantis par l'Etat,112.00,6006109.00,84,Auvergne-Rhône-Alpes,01,Ain,P,Enseignement,2021-03-19
Prêts garantis par l'Etat,306.00,19787018.00,84,Auvergne-Rhône-Alpes,01,Ain,Q,Santé humaine et action sociale,2021-03-19
