dispositif,nombre_reports,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Reports d'échéances fiscales,13.00,170641.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche",2021-05-13
Reports d'échéances fiscales,1110.00,77707910.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière,2021-05-13
Reports d'échéances fiscales,14.00,1324825.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-05-13
Reports d'échéances fiscales,38.00,2889533.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-05-13
Reports d'échéances fiscales,1044.00,25997075.00,84,Auvergne-Rhône-Alpes,F,Construction,2021-05-13
Reports d'échéances fiscales,2541.00,93333613.00,84,Auvergne-Rhône-Alpes,G,Commerce,2021-05-13
Reports d'échéances fiscales,296.00,12556444.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage,2021-05-13
Reports d'échéances fiscales,1889.00,21168256.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration,2021-05-13
Reports d'échéances fiscales,282.00,13863984.00,84,Auvergne-Rhône-Alpes,J,Information et communication,2021-05-13
Reports d'échéances fiscales,471.00,20013104.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance,2021-05-13
Reports d'échéances fiscales,842.00,14035127.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières,2021-05-13
Reports d'échéances fiscales,1157.00,49485659.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques",2021-05-13
Reports d'échéances fiscales,463.00,16010957.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien,2021-05-13
Reports d'échéances fiscales,177.00,2245167.00,84,Auvergne-Rhône-Alpes,P,Enseignement,2021-05-13
Reports d'échéances fiscales,351.00,10396506.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale,2021-05-13
Reports d'échéances fiscales,263.00,16873674.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives",2021-05-13
Reports d'échéances fiscales,358.00,3384064.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services,2021-05-13
Reports d'échéances fiscales,62.00,699260.00,84,Auvergne-Rhône-Alpes,Z,Non connu,2021-05-13
