dispositif,nombre_reports,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Reports d'échéances fiscales,15.00,178577.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche",2021-04-07
Reports d'échéances fiscales,1075.00,74881172.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière,2021-04-07
Reports d'échéances fiscales,9.00,1251620.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-04-07
Reports d'échéances fiscales,36.00,2864114.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-04-07
Reports d'échéances fiscales,1005.00,24954842.00,84,Auvergne-Rhône-Alpes,F,Construction,2021-04-07
Reports d'échéances fiscales,2467.00,90431767.00,84,Auvergne-Rhône-Alpes,G,Commerce,2021-04-07
Reports d'échéances fiscales,284.00,12356954.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage,2021-04-07
Reports d'échéances fiscales,1828.00,20254726.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration,2021-04-07
Reports d'échéances fiscales,272.00,13626504.00,84,Auvergne-Rhône-Alpes,J,Information et communication,2021-04-07
Reports d'échéances fiscales,463.00,19942259.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance,2021-04-07
Reports d'échéances fiscales,812.00,13255498.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières,2021-04-07
Reports d'échéances fiscales,1128.00,44846824.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques",2021-04-07
Reports d'échéances fiscales,449.00,15115178.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien,2021-04-07
Reports d'échéances fiscales,170.00,2197886.00,84,Auvergne-Rhône-Alpes,P,Enseignement,2021-04-07
Reports d'échéances fiscales,348.00,10378175.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale,2021-04-07
Reports d'échéances fiscales,250.00,12949710.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives",2021-04-07
Reports d'échéances fiscales,345.00,3334118.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services,2021-04-07
Reports d'échéances fiscales,58.00,737935.00,84,Auvergne-Rhône-Alpes,Z,Non connu,2021-04-07
Reports d'échéances fiscales,31.00,606784.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche",2021-04-07
Reports d'échéances fiscales,353.00,33053115.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière,2021-04-07
Reports d'échéances fiscales,7.00,122085.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-04-07
Reports d'échéances fiscales,202.00,2562822.00,27,Bourgogne-Franche-Comté,F,Construction,2021-04-07
Reports d'échéances fiscales,666.00,17010206.00,27,Bourgogne-Franche-Comté,G,Commerce,2021-04-07
Reports d'échéances fiscales,84.00,2371806.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage,2021-04-07
Reports d'échéances fiscales,537.00,2762599.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration,2021-04-07
Reports d'échéances fiscales,26.00,743491.00,27,Bourgogne-Franche-Comté,J,Information et communication,2021-04-07
Reports d'échéances fiscales,70.00,2839802.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance,2021-04-07
Reports d'échéances fiscales,216.00,3064100.00,27,Bourgogne-Franche-Comté,L,Activités immobilières,2021-04-07
Reports d'échéances fiscales,212.00,2995966.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques",2021-04-07
Reports d'échéances fiscales,78.00,2098149.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien,2021-04-07
