dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Prêts garantis par l'Etat,2277.00,118621648.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche",2021-07-09
Prêts garantis par l'Etat,18.00,6202000.00,84,Auvergne-Rhône-Alpes,B,Industries extractives,2021-07-09
Prêts garantis par l'Etat,8000.00,2821593695.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière,2021-07-09
Prêts garantis par l'Etat,25.00,1393289.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-07-09
Prêts garantis par l'Etat,197.00,71938987.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-07-09
Prêts garantis par l'Etat,12847.00,1559031716.00,84,Auvergne-Rhône-Alpes,F,Construction,2021-07-09
Prêts garantis par l'Etat,20340.00,3913606351.00,84,Auvergne-Rhône-Alpes,G,Commerce,2021-07-09
Prêts garantis par l'Etat,2521.00,501484207.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage,2021-07-09
Prêts garantis par l'Etat,13412.00,1264452449.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration,2021-07-09
Prêts garantis par l'Etat,1726.00,430934532.00,84,Auvergne-Rhône-Alpes,J,Information et communication,2021-07-09
Prêts garantis par l'Etat,1462.00,1291817669.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance,2021-07-09
Prêts garantis par l'Etat,2049.00,212269867.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières,2021-07-09
Prêts garantis par l'Etat,7902.00,1817198386.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques",2021-07-09
Prêts garantis par l'Etat,3407.00,453627901.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien,2021-07-09
Prêts garantis par l'Etat,1828.00,123307759.00,84,Auvergne-Rhône-Alpes,P,Enseignement,2021-07-09
Prêts garantis par l'Etat,5480.00,340809188.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale,2021-07-09
Prêts garantis par l'Etat,1820.00,356715956.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives",2021-07-09
Prêts garantis par l'Etat,5046.00,165332787.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services,2021-07-09
Prêts garantis par l'Etat,66.00,6667231.00,84,Auvergne-Rhône-Alpes,Z,Non connu,2021-07-09
Prêts garantis par l'Etat,1368.00,115310886.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche",2021-07-09
Prêts garantis par l'Etat,9.00,1934500.00,27,Bourgogne-Franche-Comté,B,Industries extractives,2021-07-09
Prêts garantis par l'Etat,2387.00,919680926.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière,2021-07-09
