dispositif,nombre_reports,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Reports d'échéances fiscales,17.00,186297.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche",2020-07-16
Reports d'échéances fiscales,3.00,77620.00,84,Auvergne-Rhône-Alpes,B,Industries extractives,2020-07-16
Reports d'échéances fiscales,887.00,61730117.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière,2020-07-16
Reports d'échéances fiscales,8.00,1174843.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-07-16
Reports d'échéances fiscales,24.00,2519351.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-07-16
Reports d'échéances fiscales,870.00,23295406.00,84,Auvergne-Rhône-Alpes,F,Construction,2020-07-16
Reports d'échéances fiscales,1910.00,79311022.00,84,Auvergne-Rhône-Alpes,G,Commerce,2020-07-16
Reports d'échéances fiscales,209.00,9404369.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage,2020-07-16
Reports d'échéances fiscales,937.00,11880334.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration,2020-07-16
Reports d'échéances fiscales,215.00,11020169.00,84,Auvergne-Rhône-Alpes,J,Information et communication,2020-07-16
Reports d'échéances fiscales,404.00,18764001.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance,2020-07-16
Reports d'échéances fiscales,691.00,10970223.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières,2020-07-16
Reports d'échéances fiscales,987.00,36595568.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques",2020-07-16
Reports d'échéances fiscales,364.00,12103268.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien,2020-07-16
Reports d'échéances fiscales,118.00,1678679.00,84,Auvergne-Rhône-Alpes,P,Enseignement,2020-07-16
Reports d'échéances fiscales,325.00,10089492.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale,2020-07-16
Reports d'échéances fiscales,144.00,11120041.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives",2020-07-16
Reports d'échéances fiscales,191.00,2497705.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services,2020-07-16
Reports d'échéances fiscales,59.00,679217.00,84,Auvergne-Rhône-Alpes,Z,Non connu,2020-07-16
Reports d'échéances fiscales,27.00,485451.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche",2020-07-16
Reports d'échéances fiscales,273.00,24598000.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière,2020-07-16
Reports d'échéances fiscales,6.00,121449.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-07-16
Reports d'échéances fiscales,175.00,2376515.00,27,Bourgogne-Franche-Comté,F,Construction,2020-07-16
Reports d'échéances fiscales,521.00,16534218.00,27,Bourgogne-Franche-Comté,G,Commerce,2020-07-16
Reports d'échéances fiscales,78.00,2065290.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage,2020-07-16
Reports d'échéances fiscales,292.00,1793827.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration,2020-07-16
Reports d'échéances fiscales,25.00,929885.00,27,Bourgogne-Franche-Comté,J,Information et communication,2020-07-16
Reports d'échéances fiscales,62.00,2474091.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance,2020-07-16
Reports d'échéances fiscales,178.00,2132443.00,27,Bourgogne-Franche-Comté,L,Activités immobilières,2020-07-16
Reports d'échéances fiscales,195.00,3443550.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques",2020-07-16
Reports d'échéances fiscales,57.00,1470614.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien,2020-07-16
Reports d'échéances fiscales,20.00,67044.00,27,Bourgogne-Franche-Comté,P,Enseignement,2020-07-16
Reports d'échéances fiscales,85.00,2620728.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale,2020-07-16
Reports d'échéances fiscales,39.00,4537108.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives",2020-07-16
Reports d'échéances fiscales,64.00,267578.00,27,Bourgogne-Franche-Comté,S,Autres activités de services,2020-07-16
Reports d'échéances fiscales,39.00,549320.00,27,Bourgogne-Franche-Comté,Z,Non connu,2020-07-16
Reports d'échéances fiscales,22.00,291089.00,53,Bretagne,A,"Agriculture, sylviculture et pêche",2020-07-16
Reports d'échéances fiscales,302.00,20497926.00,53,Bretagne,C,Industrie manufacturière,2020-07-16
Reports d'échéances fiscales,4.00,70951.00,53,Bretagne,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-07-16
Reports d'échéances fiscales,353.00,13619180.00,53,Bretagne,F,Construction,2020-07-16
Reports d'échéances fiscales,733.00,16959306.00,53,Bretagne,G,Commerce,2020-07-16
Reports d'échéances fiscales,81.00,3866650.00,53,Bretagne,H,Transports et entreposage,2020-07-16
Reports d'échéances fiscales,585.00,8144423.00,53,Bretagne,I,Hébergement et restauration,2020-07-16
Reports d'échéances fiscales,59.00,3350697.00,53,Bretagne,J,Information et communication,2020-07-16
Reports d'échéances fiscales,186.00,7131233.00,53,Bretagne,K,Activités financières et d'assurance,2020-07-16
Reports d'échéances fiscales,264.00,3730890.00,53,Bretagne,L,Activités immobilières,2020-07-16
Reports d'échéances fiscales,300.00,5829685.00,53,Bretagne,M,"Activités spécialisées, scientifiques et techniques",2020-07-16
Reports d'échéances fiscales,107.00,2681658.00,53,Bretagne,N,Activités de services administratifs et de soutien,2020-07-16
Reports d'échéances fiscales,41.00,496193.00,53,Bretagne,P,Enseignement,2020-07-16
Reports d'échéances fiscales,109.00,6161355.00,53,Bretagne,Q,Santé humaine et action sociale,2020-07-16
Reports d'échéances fiscales,56.00,1009376.00,53,Bretagne,R,"Arts, spectacles et activités récréatives",2020-07-16
Reports d'échéances fiscales,78.00,222849.00,53,Bretagne,S,Autres activités de services,2020-07-16
Reports d'échéances fiscales,21.00,450497.00,53,Bretagne,Z,Non connu,2020-07-16
Reports d'échéances fiscales,15.00,529155.00,24,Centre-Val de Loire,A,"Agriculture, sylviculture et pêche",2020-07-16
Reports d'échéances fiscales,220.00,9910037.00,24,Centre-Val de Loire,C,Industrie manufacturière,2020-07-16
Reports d'échéances fiscales,3.00,19533.00,24,Centre-Val de Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-07-16
Reports d'échéances fiscales,194.00,3583766.00,24,Centre-Val de Loire,F,Construction,2020-07-16
Reports d'échéances fiscales,466.00,13018400.00,24,Centre-Val de Loire,G,Commerce,2020-07-16
Reports d'échéances fiscales,81.00,1751794.00,24,Centre-Val de Loire,H,Transports et entreposage,2020-07-16
Reports d'échéances fiscales,257.00,1791837.00,24,Centre-Val de Loire,I,Hébergement et restauration,2020-07-16
Reports d'échéances fiscales,38.00,914897.00,24,Centre-Val de Loire,J,Information et communication,2020-07-16
Reports d'échéances fiscales,99.00,1716666.00,24,Centre-Val de Loire,K,Activités financières et d'assurance,2020-07-16
Reports d'échéances fiscales,175.00,1267401.00,24,Centre-Val de Loire,L,Activités immobilières,2020-07-16
Reports d'échéances fiscales,157.00,2820075.00,24,Centre-Val de Loire,M,"Activités spécialisées, scientifiques et techniques",2020-07-16
Reports d'échéances fiscales,60.00,1041224.00,24,Centre-Val de Loire,N,Activités de services administratifs et de soutien,2020-07-16
Reports d'échéances fiscales,20.00,156121.00,24,Centre-Val de Loire,P,Enseignement,2020-07-16
Reports d'échéances fiscales,66.00,5123679.00,24,Centre-Val de Loire,Q,Santé humaine et action sociale,2020-07-16
Reports d'échéances fiscales,22.00,1209681.00,24,Centre-Val de Loire,R,"Arts, spectacles et activités récréatives",2020-07-16
Reports d'échéances fiscales,55.00,195752.00,24,Centre-Val de Loire,S,Autres activités de services,2020-07-16
Reports d'échéances fiscales,33.00,238811.00,24,Centre-Val de Loire,Z,Non connu,2020-07-16
Reports d'échéances fiscales,7.00,43204.00,94,Corse,A,"Agriculture, sylviculture et pêche",2020-07-16
Reports d'échéances fiscales,29.00,1005979.00,94,Corse,C,Industrie manufacturière,2020-07-16
Reports d'échéances fiscales,8.00,837421.00,94,Corse,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-07-16
Reports d'échéances fiscales,71.00,2245104.00,94,Corse,F,Construction,2020-07-16
Reports d'échéances fiscales,163.00,2366295.00,94,Corse,G,Commerce,2020-07-16
Reports d'échéances fiscales,17.00,221935.00,94,Corse,H,Transports et entreposage,2020-07-16
Reports d'échéances fiscales,114.00,1393901.00,94,Corse,I,Hébergement et restauration,2020-07-16
Reports d'échéances fiscales,8.00,272199.00,94,Corse,J,Information et communication,2020-07-16
Reports d'échéances fiscales,21.00,372975.00,94,Corse,K,Activités financières et d'assurance,2020-07-16
Reports d'échéances fiscales,54.00,602905.00,94,Corse,L,Activités immobilières,2020-07-16
Reports d'échéances fiscales,49.00,358418.00,94,Corse,M,"Activités spécialisées, scientifiques et techniques",2020-07-16
Reports d'échéances fiscales,22.00,351131.00,94,Corse,N,Activités de services administratifs et de soutien,2020-07-16
Reports d'échéances fiscales,5.00,9534.00,94,Corse,P,Enseignement,2020-07-16
Reports d'échéances fiscales,22.00,286754.00,94,Corse,Q,Santé humaine et action sociale,2020-07-16
Reports d'échéances fiscales,10.00,989674.00,94,Corse,R,"Arts, spectacles et activités récréatives",2020-07-16
Reports d'échéances fiscales,9.00,36387.00,94,Corse,S,Autres activités de services,2020-07-16
Reports d'échéances fiscales,8.00,200751.00,94,Corse,Z,Non connu,2020-07-16
Reports d'échéances fiscales,79.00,1903254.00,44,Grand Est,A,"Agriculture, sylviculture et pêche",2020-07-16
Reports d'échéances fiscales,469.00,50219838.00,44,Grand Est,C,Industrie manufacturière,2020-07-16
Reports d'échéances fiscales,3.00,5229.00,44,Grand Est,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-07-16
Reports d'échéances fiscales,18.00,1029428.00,44,Grand Est,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-07-16
Reports d'échéances fiscales,525.00,9973227.00,44,Grand Est,F,Construction,2020-07-16
Reports d'échéances fiscales,1114.00,44762191.00,44,Grand Est,G,Commerce,2020-07-16
Reports d'échéances fiscales,127.00,5013519.00,44,Grand Est,H,Transports et entreposage,2020-07-16
Reports d'échéances fiscales,572.00,6935965.00,44,Grand Est,I,Hébergement et restauration,2020-07-16
Reports d'échéances fiscales,76.00,1211419.00,44,Grand Est,J,Information et communication,2020-07-16
Reports d'échéances fiscales,219.00,6190322.00,44,Grand Est,K,Activités financières et d'assurance,2020-07-16
Reports d'échéances fiscales,445.00,5650246.00,44,Grand Est,L,Activités immobilières,2020-07-16
Reports d'échéances fiscales,394.00,6769269.00,44,Grand Est,M,"Activités spécialisées, scientifiques et techniques",2020-07-16
Reports d'échéances fiscales,178.00,3424259.00,44,Grand Est,N,Activités de services administratifs et de soutien,2020-07-16
Reports d'échéances fiscales,59.00,955386.00,44,Grand Est,P,Enseignement,2020-07-16
Reports d'échéances fiscales,224.00,6600041.00,44,Grand Est,Q,Santé humaine et action sociale,2020-07-16
Reports d'échéances fiscales,66.00,3905696.00,44,Grand Est,R,"Arts, spectacles et activités récréatives",2020-07-16
Reports d'échéances fiscales,125.00,664710.00,44,Grand Est,S,Autres activités de services,2020-07-16
Reports d'échéances fiscales,46.00,858846.00,44,Grand Est,Z,Non connu,2020-07-16
Reports d'échéances fiscales,9.00,149069.00,01,Guadeloupe,C,Industrie manufacturière,2020-07-16
Reports d'échéances fiscales,4.00,195560.00,01,Guadeloupe,F,Construction,2020-07-16
Reports d'échéances fiscales,26.00,1780239.00,01,Guadeloupe,G,Commerce,2020-07-16
Reports d'échéances fiscales,4.00,25152.00,01,Guadeloupe,I,Hébergement et restauration,2020-07-16
Reports d'échéances fiscales,4.00,72931.00,01,Guadeloupe,J,Information et communication,2020-07-16
Reports d'échéances fiscales,5.00,10056.00,01,Guadeloupe,K,Activités financières et d'assurance,2020-07-16
Reports d'échéances fiscales,6.00,601277.00,01,Guadeloupe,L,Activités immobilières,2020-07-16
Reports d'échéances fiscales,4.00,72587.00,01,Guadeloupe,M,"Activités spécialisées, scientifiques et techniques",2020-07-16
Reports d'échéances fiscales,7.00,116244.00,01,Guadeloupe,N,Activités de services administratifs et de soutien,2020-07-16
Reports d'échéances fiscales,7.00,227632.00,01,Guadeloupe,Q,Santé humaine et action sociale,2020-07-16
Reports d'échéances fiscales,10.00,2779587.00,01,Guadeloupe,Z,Non connu,2020-07-16
Reports d'échéances fiscales,3.00,74473.00,03,Guyane,C,Industrie manufacturière,2020-07-16
Reports d'échéances fiscales,59.00,1567539.00,03,Guyane,G,Commerce,2020-07-16
Reports d'échéances fiscales,6.00,184487.00,03,Guyane,H,Transports et entreposage,2020-07-16
Reports d'échéances fiscales,6.00,55874.00,03,Guyane,I,Hébergement et restauration,2020-07-16
Reports d'échéances fiscales,3.00,42981.00,03,Guyane,K,Activités financières et d'assurance,2020-07-16
Reports d'échéances fiscales,7.00,34490.00,03,Guyane,L,Activités immobilières,2020-07-16
Reports d'échéances fiscales,5.00,221821.00,03,Guyane,M,"Activités spécialisées, scientifiques et techniques",2020-07-16
Reports d'échéances fiscales,7.00,92041.00,03,Guyane,N,Activités de services administratifs et de soutien,2020-07-16
Reports d'échéances fiscales,5.00,170083.00,03,Guyane,Q,Santé humaine et action sociale,2020-07-16
Reports d'échéances fiscales,11.00,146616.00,03,Guyane,Z,Non connu,2020-07-16
Reports d'échéances fiscales,10.00,344330.00,32,Hauts-de-France,A,"Agriculture, sylviculture et pêche",2020-07-16
