dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section
Prêts garantis par l'Etat,1094.00,63692658.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,5254.00,1950006937.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière
Prêts garantis par l'Etat,3.00,24500.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,95.00,37975428.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,8112.00,1040850740.00,84,Auvergne-Rhône-Alpes,F,Construction
Prêts garantis par l'Etat,14573.00,3023102318.00,84,Auvergne-Rhône-Alpes,G,Commerce
Prêts garantis par l'Etat,1423.00,283201735.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage
Prêts garantis par l'Etat,9358.00,748668230.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration
Prêts garantis par l'Etat,1011.00,257474064.00,84,Auvergne-Rhône-Alpes,J,Information et communication
Prêts garantis par l'Etat,899.00,731734377.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance
Prêts garantis par l'Etat,1269.00,113489913.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières
Prêts garantis par l'Etat,4966.00,1051012108.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,1989.00,251696494.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,1136.00,65623727.00,84,Auvergne-Rhône-Alpes,P,Enseignement
Prêts garantis par l'Etat,3757.00,230240757.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,1041.00,111039427.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,3752.00,104631416.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services
Prêts garantis par l'Etat,416.00,38550020.00,84,Auvergne-Rhône-Alpes,Z,Non connu
Prêts garantis par l'Etat,785.00,72660800.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,4.00,944500.00,27,Bourgogne-Franche-Comté,B,Industries extractives
Prêts garantis par l'Etat,1699.00,666489258.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière
Prêts garantis par l'Etat,19.00,2883250.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,2447.00,262101110.00,27,Bourgogne-Franche-Comté,F,Construction
Prêts garantis par l'Etat,4711.00,644346971.00,27,Bourgogne-Franche-Comté,G,Commerce
Prêts garantis par l'Etat,410.00,63625095.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage
Prêts garantis par l'Etat,2800.00,174637728.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration
Prêts garantis par l'Etat,207.00,29851069.00,27,Bourgogne-Franche-Comté,J,Information et communication
Prêts garantis par l'Etat,250.00,144347771.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance
Prêts garantis par l'Etat,326.00,24698105.00,27,Bourgogne-Franche-Comté,L,Activités immobilières
Prêts garantis par l'Etat,1095.00,170774847.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,480.00,55333935.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,290.00,18924277.00,27,Bourgogne-Franche-Comté,P,Enseignement
Prêts garantis par l'Etat,1172.00,65634930.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,308.00,28542143.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,1303.00,31919197.00,27,Bourgogne-Franche-Comté,S,Autres activités de services
Prêts garantis par l'Etat,146.00,15857840.00,27,Bourgogne-Franche-Comté,Z,Non connu
Prêts garantis par l'Etat,302.00,25558238.00,53,Bretagne,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,1432.00,439589420.00,53,Bretagne,C,Industrie manufacturière
Prêts garantis par l'Etat,15.00,7952000.00,53,Bretagne,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,2429.00,292499404.00,53,Bretagne,F,Construction
Prêts garantis par l'Etat,4862.00,755408943.00,53,Bretagne,G,Commerce
Prêts garantis par l'Etat,364.00,182095259.00,53,Bretagne,H,Transports et entreposage
Prêts garantis par l'Etat,3864.00,246583401.00,53,Bretagne,I,Hébergement et restauration
Prêts garantis par l'Etat,245.00,61259866.00,53,Bretagne,J,Information et communication
