dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Prêts garantis par l'Etat,1927.00,101396544.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche",2020-12-18
Prêts garantis par l'Etat,13.00,4847000.00,84,Auvergne-Rhône-Alpes,B,Industries extractives,2020-12-18
Prêts garantis par l'Etat,7354.00,2654832977.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière,2020-12-18
Prêts garantis par l'Etat,11.00,939000.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-12-18
Prêts garantis par l'Etat,184.00,71239987.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-12-18
Prêts garantis par l'Etat,11593.00,1458921962.00,84,Auvergne-Rhône-Alpes,F,Construction,2020-12-18
Prêts garantis par l'Etat,18751.00,3634263544.00,84,Auvergne-Rhône-Alpes,G,Commerce,2020-12-18
Prêts garantis par l'Etat,2223.00,413349338.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage,2020-12-18
Prêts garantis par l'Etat,12344.00,1058761671.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration,2020-12-18
Prêts garantis par l'Etat,1570.00,399315363.00,84,Auvergne-Rhône-Alpes,J,Information et communication,2020-12-18
Prêts garantis par l'Etat,1326.00,1167732357.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance,2020-12-18
Prêts garantis par l'Etat,1815.00,193888825.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières,2020-12-18
Prêts garantis par l'Etat,7308.00,1628196411.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques",2020-12-18
Prêts garantis par l'Etat,2956.00,398894719.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien,2020-12-18
