dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section
Prêts garantis par l'Etat,1010.00,60197836.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,4971.00,1841667027.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière
Prêts garantis par l'Etat,7.00,757500.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,90.00,36717428.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,7675.00,982260115.00,84,Auvergne-Rhône-Alpes,F,Construction
Prêts garantis par l'Etat,14046.00,2911212672.00,84,Auvergne-Rhône-Alpes,G,Commerce
Prêts garantis par l'Etat,1346.00,273165014.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage
Prêts garantis par l'Etat,8907.00,700245373.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration
Prêts garantis par l'Etat,948.00,240657814.00,84,Auvergne-Rhône-Alpes,J,Information et communication
Prêts garantis par l'Etat,842.00,659573572.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance
Prêts garantis par l'Etat,1205.00,99312690.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières
Prêts garantis par l'Etat,4669.00,989022535.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,1879.00,241527373.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,1084.00,62385427.00,84,Auvergne-Rhône-Alpes,P,Enseignement
Prêts garantis par l'Etat,3605.00,221968731.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,979.00,106197393.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,3640.00,101350049.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services
Prêts garantis par l'Etat,398.00,37368320.00,84,Auvergne-Rhône-Alpes,Z,Non connu
