dispositif,nombre_reports,montant_total,reg,libelle_region,code_section,libelle_section
Reports d'échéances fiscales,15.00,173491.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche"
Reports d'échéances fiscales,3.00,77620.00,84,Auvergne-Rhône-Alpes,B,Industries extractives
Reports d'échéances fiscales,800.00,53840351.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière
Reports d'échéances fiscales,12.00,705837.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Reports d'échéances fiscales,23.00,2636383.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Reports d'échéances fiscales,821.00,20993175.00,84,Auvergne-Rhône-Alpes,F,Construction
Reports d'échéances fiscales,1794.00,73039386.00,84,Auvergne-Rhône-Alpes,G,Commerce
Reports d'échéances fiscales,192.00,9083404.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage
Reports d'échéances fiscales,862.00,9936923.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration
Reports d'échéances fiscales,213.00,10737758.00,84,Auvergne-Rhône-Alpes,J,Information et communication
Reports d'échéances fiscales,386.00,18430264.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance
Reports d'échéances fiscales,659.00,10774182.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières
Reports d'échéances fiscales,939.00,35140521.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,346.00,11696151.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,111.00,1590080.00,84,Auvergne-Rhône-Alpes,P,Enseignement
Reports d'échéances fiscales,316.00,9274809.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale
Reports d'échéances fiscales,127.00,10739345.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives"
Reports d'échéances fiscales,185.00,2377552.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services
Reports d'échéances fiscales,55.00,630554.00,84,Auvergne-Rhône-Alpes,Z,Non connu
Reports d'échéances fiscales,26.00,434308.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche"
Reports d'échéances fiscales,253.00,22079993.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière
Reports d'échéances fiscales,6.00,121449.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Reports d'échéances fiscales,175.00,2367699.00,27,Bourgogne-Franche-Comté,F,Construction
Reports d'échéances fiscales,504.00,15119711.00,27,Bourgogne-Franche-Comté,G,Commerce
Reports d'échéances fiscales,81.00,2083481.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage
Reports d'échéances fiscales,284.00,1511773.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration
Reports d'échéances fiscales,25.00,929885.00,27,Bourgogne-Franche-Comté,J,Information et communication
Reports d'échéances fiscales,61.00,2437023.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance
Reports d'échéances fiscales,168.00,1925896.00,27,Bourgogne-Franche-Comté,L,Activités immobilières
Reports d'échéances fiscales,191.00,3318635.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,62.00,1498938.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,14.00,42227.00,27,Bourgogne-Franche-Comté,P,Enseignement
Reports d'échéances fiscales,87.00,2635465.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale
