dispositif,nombre_beneficiaires,montant_total,reg,libelle_region,code_section,libelle_section
Aide CPSTI,3575.00,2498021.00,93,Provence-Alpes-Côte d'Azur,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,6215.00,4123903.00,93,Provence-Alpes-Côte d'Azur,N,Activités de services administratifs et de soutien
Aide CPSTI,805.00,617571.00,93,Provence-Alpes-Côte d'Azur,P,Enseignement
Aide CPSTI,1088.00,776384.00,93,Provence-Alpes-Côte d'Azur,Q,Santé humaine et action sociale
Aide CPSTI,1314.00,726755.00,93,Provence-Alpes-Côte d'Azur,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,11563.00,7243728.00,93,Provence-Alpes-Côte d'Azur,S,Autres activités de services
Aide CPSTI,5558.00,5744841.00,93,Provence-Alpes-Côte d'Azur,Z,Non connu
Aide CPSTI,233.00,215476.00,11,Île-de-France,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,3.00,1970.00,11,Île-de-France,B,Industries extractives
Aide CPSTI,8288.00,6283207.00,11,Île-de-France,C,Industrie manufacturière
Aide CPSTI,9.00,7504.00,11,Île-de-France,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,241.00,165559.00,11,Île-de-France,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,20657.00,18614867.00,11,Île-de-France,F,Construction
Aide CPSTI,28061.00,22013220.00,11,Île-de-France,G,Commerce
Aide CPSTI,16616.00,12318577.00,11,Île-de-France,H,Transports et entreposage
Aide CPSTI,7602.00,6986569.00,11,Île-de-France,I,Hébergement et restauration
Aide CPSTI,5531.00,4104638.00,11,Île-de-France,J,Information et communication
Aide CPSTI,1893.00,1941214.00,11,Île-de-France,K,Activités financières et d'assurance
Aide CPSTI,5585.00,5419129.00,11,Île-de-France,L,Activités immobilières
Aide CPSTI,8403.00,5837786.00,11,Île-de-France,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,6573.00,4648644.00,11,Île-de-France,N,Activités de services administratifs et de soutien
Aide CPSTI,1074.00,708671.00,11,Île-de-France,P,Enseignement
Aide CPSTI,1295.00,837164.00,11,Île-de-France,Q,Santé humaine et action sociale
Aide CPSTI,2736.00,1736709.00,11,Île-de-France,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,11457.00,7812996.00,11,Île-de-France,S,Autres activités de services
Aide CPSTI,12154.00,13086589.00,11,Île-de-France,Z,Non connu
Aide CPSTI,18.00,11393.00,,,C,Industrie manufacturière
Aide CPSTI,51.00,39558.00,,,F,Construction
Aide CPSTI,63.00,36274.00,,,G,Commerce
Aide CPSTI,13.00,3631.00,,,H,Transports et entreposage
Aide CPSTI,14.00,8031.00,,,I,Hébergement et restauration
