dispositif,nombre_beneficiaires,montant_total,reg,libelle_region,code_section,libelle_section
Aide CPSTI,5083.00,4769907.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage
Aide CPSTI,15342.00,13545861.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration
Aide CPSTI,2127.00,1589558.00,84,Auvergne-Rhône-Alpes,J,Information et communication
Aide CPSTI,1516.00,1554876.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance
Aide CPSTI,6018.00,5842172.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières
Aide CPSTI,4792.00,3606533.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,7002.00,5043609.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien
Aide CPSTI,1503.00,1308183.00,84,Auvergne-Rhône-Alpes,P,Enseignement
Aide CPSTI,1652.00,1052476.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale
Aide CPSTI,1938.00,1148005.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,15631.00,11598971.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services
Aide CPSTI,8318.00,8965265.00,84,Auvergne-Rhône-Alpes,Z,Non connu
Aide CPSTI,384.00,309405.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,6.00,5621.00,27,Bourgogne-Franche-Comté,B,Industries extractives
Aide CPSTI,4726.00,3998327.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière
Aide CPSTI,24.00,27076.00,27,Bourgogne-Franche-Comté,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,223.00,149761.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,10336.00,10268047.00,27,Bourgogne-Franche-Comté,F,Construction
Aide CPSTI,10925.00,9060214.00,27,Bourgogne-Franche-Comté,G,Commerce
Aide CPSTI,1323.00,1402695.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage
Aide CPSTI,4628.00,4008560.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration
Aide CPSTI,432.00,304491.00,27,Bourgogne-Franche-Comté,J,Information et communication
Aide CPSTI,382.00,386380.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance
Aide CPSTI,1360.00,1313404.00,27,Bourgogne-Franche-Comté,L,Activités immobilières
Aide CPSTI,1138.00,852931.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,1520.00,1071256.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien
Aide CPSTI,365.00,336406.00,27,Bourgogne-Franche-Comté,P,Enseignement
Aide CPSTI,466.00,331610.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale
Aide CPSTI,677.00,371001.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,5155.00,4030409.00,27,Bourgogne-Franche-Comté,S,Autres activités de services
Aide CPSTI,2556.00,2765040.00,27,Bourgogne-Franche-Comté,Z,Non connu
Aide CPSTI,241.00,227712.00,53,Bretagne,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,6545.00,5588438.00,53,Bretagne,C,Industrie manufacturière
Aide CPSTI,37.00,33865.00,53,Bretagne,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,156.00,122035.00,53,Bretagne,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,14077.00,14469911.00,53,Bretagne,F,Construction
Aide CPSTI,13926.00,12520507.00,53,Bretagne,G,Commerce
Aide CPSTI,1834.00,1885980.00,53,Bretagne,H,Transports et entreposage
Aide CPSTI,8301.00,7695038.00,53,Bretagne,I,Hébergement et restauration
Aide CPSTI,740.00,535991.00,53,Bretagne,J,Information et communication
Aide CPSTI,722.00,756591.00,53,Bretagne,K,Activités financières et d'assurance
Aide CPSTI,2247.00,2273197.00,53,Bretagne,L,Activités immobilières
Aide CPSTI,1615.00,1272002.00,53,Bretagne,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,1946.00,1376532.00,53,Bretagne,N,Activités de services administratifs et de soutien
Aide CPSTI,532.00,493472.00,53,Bretagne,P,Enseignement
Aide CPSTI,720.00,512022.00,53,Bretagne,Q,Santé humaine et action sociale
Aide CPSTI,779.00,500104.00,53,Bretagne,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,6294.00,5087676.00,53,Bretagne,S,Autres activités de services
Aide CPSTI,4022.00,4310788.00,53,Bretagne,Z,Non connu
Aide CPSTI,215.00,186485.00,24,Centre-Val de Loire,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,4250.00,3603203.00,24,Centre-Val de Loire,C,Industrie manufacturière
Aide CPSTI,16.00,13310.00,24,Centre-Val de Loire,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,153.00,95083.00,24,Centre-Val de Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,9589.00,9430289.00,24,Centre-Val de Loire,F,Construction
Aide CPSTI,9153.00,7318864.00,24,Centre-Val de Loire,G,Commerce
Aide CPSTI,1333.00,1389884.00,24,Centre-Val de Loire,H,Transports et entreposage
Aide CPSTI,3737.00,3241917.00,24,Centre-Val de Loire,I,Hébergement et restauration
Aide CPSTI,424.00,307286.00,24,Centre-Val de Loire,J,Information et communication
Aide CPSTI,376.00,364822.00,24,Centre-Val de Loire,K,Activités financières et d'assurance
Aide CPSTI,1198.00,1147694.00,24,Centre-Val de Loire,L,Activités immobilières
Aide CPSTI,1130.00,817181.00,24,Centre-Val de Loire,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,1484.00,951916.00,24,Centre-Val de Loire,N,Activités de services administratifs et de soutien
Aide CPSTI,341.00,285939.00,24,Centre-Val de Loire,P,Enseignement
Aide CPSTI,437.00,293425.00,24,Centre-Val de Loire,Q,Santé humaine et action sociale
Aide CPSTI,600.00,355494.00,24,Centre-Val de Loire,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,4861.00,3606779.00,24,Centre-Val de Loire,S,Autres activités de services
Aide CPSTI,2414.00,2643181.00,24,Centre-Val de Loire,Z,Non connu
Aide CPSTI,27.00,24474.00,94,Corse,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,656.00,431811.00,94,Corse,C,Industrie manufacturière
Aide CPSTI,8.00,8082.00,94,Corse,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,2233.00,1759047.00,94,Corse,F,Construction
Aide CPSTI,1538.00,1233031.00,94,Corse,G,Commerce
Aide CPSTI,216.00,198246.00,94,Corse,H,Transports et entreposage
Aide CPSTI,1032.00,846644.00,94,Corse,I,Hébergement et restauration
Aide CPSTI,61.00,46010.00,94,Corse,J,Information et communication
Aide CPSTI,21.00,19687.00,94,Corse,K,Activités financières et d'assurance
Aide CPSTI,203.00,184092.00,94,Corse,L,Activités immobilières
Aide CPSTI,184.00,112514.00,94,Corse,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,417.00,242192.00,94,Corse,N,Activités de services administratifs et de soutien
Aide CPSTI,35.00,25329.00,94,Corse,P,Enseignement
Aide CPSTI,35.00,19888.00,94,Corse,Q,Santé humaine et action sociale
