dispositif,nombre_reports,montant_total,reg,libelle_region,code_section,libelle_section
Reports d'échéances fiscales,16.00,169062.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche"
Reports d'échéances fiscales,3.00,77620.00,84,Auvergne-Rhône-Alpes,B,Industries extractives
Reports d'échéances fiscales,763.00,50520185.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière
Reports d'échéances fiscales,8.00,581939.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Reports d'échéances fiscales,22.00,2425838.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Reports d'échéances fiscales,775.00,20251348.00,84,Auvergne-Rhône-Alpes,F,Construction
Reports d'échéances fiscales,1741.00,68657647.00,84,Auvergne-Rhône-Alpes,G,Commerce
Reports d'échéances fiscales,185.00,8859648.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage
Reports d'échéances fiscales,818.00,9383395.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration
Reports d'échéances fiscales,201.00,10564367.00,84,Auvergne-Rhône-Alpes,J,Information et communication
Reports d'échéances fiscales,367.00,16521019.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance
Reports d'échéances fiscales,625.00,9433559.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières
Reports d'échéances fiscales,898.00,33199838.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,325.00,10988994.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,105.00,1494323.00,84,Auvergne-Rhône-Alpes,P,Enseignement
Reports d'échéances fiscales,308.00,8756438.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale
Reports d'échéances fiscales,117.00,10559215.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives"
Reports d'échéances fiscales,176.00,2294754.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services
Reports d'échéances fiscales,54.00,622993.00,84,Auvergne-Rhône-Alpes,Z,Non connu
Reports d'échéances fiscales,23.00,423582.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche"
Reports d'échéances fiscales,237.00,21864598.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière
Reports d'échéances fiscales,3.00,53036.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Reports d'échéances fiscales,168.00,2174962.00,27,Bourgogne-Franche-Comté,F,Construction
Reports d'échéances fiscales,479.00,14355918.00,27,Bourgogne-Franche-Comté,G,Commerce
Reports d'échéances fiscales,80.00,2075274.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage
Reports d'échéances fiscales,273.00,1418798.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration
Reports d'échéances fiscales,24.00,921090.00,27,Bourgogne-Franche-Comté,J,Information et communication
Reports d'échéances fiscales,56.00,2319661.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance
Reports d'échéances fiscales,153.00,1792868.00,27,Bourgogne-Franche-Comté,L,Activités immobilières
Reports d'échéances fiscales,182.00,3134545.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,59.00,1474420.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,11.00,37952.00,27,Bourgogne-Franche-Comté,P,Enseignement
Reports d'échéances fiscales,86.00,2620324.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale
Reports d'échéances fiscales,31.00,3373042.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives"
Reports d'échéances fiscales,53.00,235187.00,27,Bourgogne-Franche-Comté,S,Autres activités de services
Reports d'échéances fiscales,53.00,556180.00,27,Bourgogne-Franche-Comté,Z,Non connu
Reports d'échéances fiscales,26.00,338812.00,53,Bretagne,A,"Agriculture, sylviculture et pêche"
Reports d'échéances fiscales,262.00,18610122.00,53,Bretagne,C,Industrie manufacturière
Reports d'échéances fiscales,4.00,70951.00,53,Bretagne,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Reports d'échéances fiscales,328.00,12482678.00,53,Bretagne,F,Construction
Reports d'échéances fiscales,668.00,15558977.00,53,Bretagne,G,Commerce
Reports d'échéances fiscales,72.00,3591354.00,53,Bretagne,H,Transports et entreposage
Reports d'échéances fiscales,516.00,6442842.00,53,Bretagne,I,Hébergement et restauration
Reports d'échéances fiscales,51.00,2680991.00,53,Bretagne,J,Information et communication
Reports d'échéances fiscales,160.00,6419958.00,53,Bretagne,K,Activités financières et d'assurance
Reports d'échéances fiscales,222.00,3385524.00,53,Bretagne,L,Activités immobilières
Reports d'échéances fiscales,269.00,5136918.00,53,Bretagne,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,86.00,2370740.00,53,Bretagne,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,31.00,449190.00,53,Bretagne,P,Enseignement
Reports d'échéances fiscales,100.00,5097093.00,53,Bretagne,Q,Santé humaine et action sociale
Reports d'échéances fiscales,45.00,966422.00,53,Bretagne,R,"Arts, spectacles et activités récréatives"
Reports d'échéances fiscales,66.00,147273.00,53,Bretagne,S,Autres activités de services
Reports d'échéances fiscales,19.00,400299.00,53,Bretagne,Z,Non connu
Reports d'échéances fiscales,14.00,543263.00,24,Centre-Val de Loire,A,"Agriculture, sylviculture et pêche"
Reports d'échéances fiscales,187.00,8394222.00,24,Centre-Val de Loire,C,Industrie manufacturière
Reports d'échéances fiscales,3.00,19533.00,24,Centre-Val de Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Reports d'échéances fiscales,174.00,3052890.00,24,Centre-Val de Loire,F,Construction
Reports d'échéances fiscales,418.00,12055915.00,24,Centre-Val de Loire,G,Commerce
Reports d'échéances fiscales,74.00,1714679.00,24,Centre-Val de Loire,H,Transports et entreposage
Reports d'échéances fiscales,216.00,1354215.00,24,Centre-Val de Loire,I,Hébergement et restauration
Reports d'échéances fiscales,32.00,777045.00,24,Centre-Val de Loire,J,Information et communication
Reports d'échéances fiscales,82.00,1337370.00,24,Centre-Val de Loire,K,Activités financières et d'assurance
Reports d'échéances fiscales,143.00,1121692.00,24,Centre-Val de Loire,L,Activités immobilières
Reports d'échéances fiscales,144.00,2672162.00,24,Centre-Val de Loire,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,52.00,940682.00,24,Centre-Val de Loire,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,13.00,33208.00,24,Centre-Val de Loire,P,Enseignement
Reports d'échéances fiscales,55.00,4007323.00,24,Centre-Val de Loire,Q,Santé humaine et action sociale
Reports d'échéances fiscales,19.00,989557.00,24,Centre-Val de Loire,R,"Arts, spectacles et activités récréatives"
Reports d'échéances fiscales,51.00,162393.00,24,Centre-Val de Loire,S,Autres activités de services
Reports d'échéances fiscales,30.00,224941.00,24,Centre-Val de Loire,Z,Non connu
Reports d'échéances fiscales,4.00,6106.00,94,Corse,A,"Agriculture, sylviculture et pêche"
Reports d'échéances fiscales,27.00,1003220.00,94,Corse,C,Industrie manufacturière
Reports d'échéances fiscales,3.00,27000.00,94,Corse,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Reports d'échéances fiscales,60.00,1833109.00,94,Corse,F,Construction
Reports d'échéances fiscales,148.00,2291695.00,94,Corse,G,Commerce
Reports d'échéances fiscales,17.00,221935.00,94,Corse,H,Transports et entreposage
Reports d'échéances fiscales,103.00,1363178.00,94,Corse,I,Hébergement et restauration
Reports d'échéances fiscales,8.00,272199.00,94,Corse,J,Information et communication
Reports d'échéances fiscales,21.00,372975.00,94,Corse,K,Activités financières et d'assurance
Reports d'échéances fiscales,49.00,423424.00,94,Corse,L,Activités immobilières
Reports d'échéances fiscales,46.00,307170.00,94,Corse,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,22.00,351131.00,94,Corse,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,5.00,9534.00,94,Corse,P,Enseignement
Reports d'échéances fiscales,20.00,282557.00,94,Corse,Q,Santé humaine et action sociale
Reports d'échéances fiscales,9.00,983674.00,94,Corse,R,"Arts, spectacles et activités récréatives"
Reports d'échéances fiscales,8.00,32972.00,94,Corse,S,Autres activités de services
Reports d'échéances fiscales,7.00,181172.00,94,Corse,Z,Non connu
Reports d'échéances fiscales,67.00,1467812.00,44,Grand Est,A,"Agriculture, sylviculture et pêche"
Reports d'échéances fiscales,404.00,34379915.00,44,Grand Est,C,Industrie manufacturière
Reports d'échéances fiscales,7.00,83837.00,44,Grand Est,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Reports d'échéances fiscales,458.00,7573396.00,44,Grand Est,F,Construction
Reports d'échéances fiscales,1001.00,41390593.00,44,Grand Est,G,Commerce
Reports d'échéances fiscales,116.00,4749107.00,44,Grand Est,H,Transports et entreposage
Reports d'échéances fiscales,517.00,5687671.00,44,Grand Est,I,Hébergement et restauration
Reports d'échéances fiscales,59.00,858101.00,44,Grand Est,J,Information et communication
Reports d'échéances fiscales,197.00,5644288.00,44,Grand Est,K,Activités financières et d'assurance
Reports d'échéances fiscales,375.00,4558528.00,44,Grand Est,L,Activités immobilières
Reports d'échéances fiscales,350.00,5824025.00,44,Grand Est,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,156.00,2896461.00,44,Grand Est,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,50.00,770199.00,44,Grand Est,P,Enseignement
Reports d'échéances fiscales,200.00,6381175.00,44,Grand Est,Q,Santé humaine et action sociale
Reports d'échéances fiscales,53.00,3569748.00,44,Grand Est,R,"Arts, spectacles et activités récréatives"
Reports d'échéances fiscales,115.00,559166.00,44,Grand Est,S,Autres activités de services
Reports d'échéances fiscales,56.00,1342124.00,44,Grand Est,Z,Non connu
Reports d'échéances fiscales,5.00,13244.00,01,Guadeloupe,C,Industrie manufacturière
Reports d'échéances fiscales,3.00,193882.00,01,Guadeloupe,F,Construction
Reports d'échéances fiscales,19.00,911659.00,01,Guadeloupe,G,Commerce
Reports d'échéances fiscales,4.00,14828.00,01,Guadeloupe,I,Hébergement et restauration
Reports d'échéances fiscales,4.00,72931.00,01,Guadeloupe,J,Information et communication
Reports d'échéances fiscales,3.00,6358.00,01,Guadeloupe,K,Activités financières et d'assurance
Reports d'échéances fiscales,5.00,591277.00,01,Guadeloupe,L,Activités immobilières
Reports d'échéances fiscales,4.00,72587.00,01,Guadeloupe,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,5.00,65434.00,01,Guadeloupe,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,6.00,220417.00,01,Guadeloupe,Q,Santé humaine et action sociale
Reports d'échéances fiscales,4.00,97957.00,01,Guadeloupe,Z,Non connu
Reports d'échéances fiscales,3.00,74473.00,03,Guyane,C,Industrie manufacturière
Reports d'échéances fiscales,40.00,835612.00,03,Guyane,G,Commerce
Reports d'échéances fiscales,5.00,179230.00,03,Guyane,H,Transports et entreposage
Reports d'échéances fiscales,6.00,55874.00,03,Guyane,I,Hébergement et restauration
Reports d'échéances fiscales,4.00,28265.00,03,Guyane,L,Activités immobilières
Reports d'échéances fiscales,3.00,187822.00,03,Guyane,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,5.00,57241.00,03,Guyane,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,5.00,162625.00,03,Guyane,Q,Santé humaine et action sociale
Reports d'échéances fiscales,11.00,125396.00,03,Guyane,Z,Non connu
Reports d'échéances fiscales,9.00,337869.00,32,Hauts-de-France,A,"Agriculture, sylviculture et pêche"
Reports d'échéances fiscales,387.00,49746531.00,32,Hauts-de-France,C,Industrie manufacturière
Reports d'échéances fiscales,15.00,1024866.00,32,Hauts-de-France,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Reports d'échéances fiscales,404.00,24572693.00,32,Hauts-de-France,F,Construction
Reports d'échéances fiscales,1039.00,105052704.00,32,Hauts-de-France,G,Commerce
Reports d'échéances fiscales,150.00,4182408.00,32,Hauts-de-France,H,Transports et entreposage
Reports d'échéances fiscales,551.00,4177119.00,32,Hauts-de-France,I,Hébergement et restauration
Reports d'échéances fiscales,97.00,3508360.00,32,Hauts-de-France,J,Information et communication
Reports d'échéances fiscales,192.00,3806412.00,32,Hauts-de-France,K,Activités financières et d'assurance
Reports d'échéances fiscales,307.00,4369758.00,32,Hauts-de-France,L,Activités immobilières
Reports d'échéances fiscales,388.00,7910052.00,32,Hauts-de-France,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,171.00,8928158.00,32,Hauts-de-France,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,66.00,442461.00,32,Hauts-de-France,P,Enseignement
Reports d'échéances fiscales,162.00,4229508.00,32,Hauts-de-France,Q,Santé humaine et action sociale
Reports d'échéances fiscales,56.00,2940193.00,32,Hauts-de-France,R,"Arts, spectacles et activités récréatives"
Reports d'échéances fiscales,171.00,935250.00,32,Hauts-de-France,S,Autres activités de services
Reports d'échéances fiscales,35.00,399624.00,32,Hauts-de-France,Z,Non connu
Reports d'échéances fiscales,58.00,2758479.00,04,La Réunion,C,Industrie manufacturière
Reports d'échéances fiscales,49.00,1121130.00,04,La Réunion,F,Construction
Reports d'échéances fiscales,182.00,4904045.00,04,La Réunion,G,Commerce
Reports d'échéances fiscales,24.00,357708.00,04,La Réunion,H,Transports et entreposage
Reports d'échéances fiscales,43.00,533321.00,04,La Réunion,I,Hébergement et restauration
Reports d'échéances fiscales,21.00,161603.00,04,La Réunion,J,Information et communication
Reports d'échéances fiscales,30.00,1509291.00,04,La Réunion,K,Activités financières et d'assurance
Reports d'échéances fiscales,63.00,633339.00,04,La Réunion,L,Activités immobilières
Reports d'échéances fiscales,47.00,1703545.00,04,La Réunion,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,22.00,277454.00,04,La Réunion,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,13.00,72399.00,04,La Réunion,P,Enseignement
Reports d'échéances fiscales,24.00,994296.00,04,La Réunion,Q,Santé humaine et action sociale
Reports d'échéances fiscales,6.00,1748568.00,04,La Réunion,R,"Arts, spectacles et activités récréatives"
Reports d'échéances fiscales,12.00,27560.00,04,La Réunion,Z,Non connu
Reports d'échéances fiscales,8.00,308170.00,02,Martinique,C,Industrie manufacturière
Reports d'échéances fiscales,9.00,151720.00,02,Martinique,F,Construction
Reports d'échéances fiscales,45.00,2911878.00,02,Martinique,G,Commerce
Reports d'échéances fiscales,5.00,1924126.00,02,Martinique,H,Transports et entreposage
