dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section
Prêts garantis par l'Etat,527.00,32624291.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,3044.00,1030121513.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière
Prêts garantis par l'Etat,3.00,293000.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,70.00,18243728.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,4688.00,587198632.00,84,Auvergne-Rhône-Alpes,F,Construction
Prêts garantis par l'Etat,9261.00,1917292755.00,84,Auvergne-Rhône-Alpes,G,Commerce
Prêts garantis par l'Etat,778.00,123743289.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage
Prêts garantis par l'Etat,5669.00,429630763.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration
Prêts garantis par l'Etat,550.00,156344636.00,84,Auvergne-Rhône-Alpes,J,Information et communication
Prêts garantis par l'Etat,518.00,272033985.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance
Prêts garantis par l'Etat,750.00,61557953.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières
Prêts garantis par l'Etat,2805.00,478332357.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,1140.00,133178358.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,657.00,34143936.00,84,Auvergne-Rhône-Alpes,P,Enseignement
Prêts garantis par l'Etat,2178.00,131915620.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,543.00,62679847.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,2577.00,68729413.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services
Prêts garantis par l'Etat,247.00,16795255.00,84,Auvergne-Rhône-Alpes,Z,Non connu
Prêts garantis par l'Etat,420.00,42586473.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,3.00,850000.00,27,Bourgogne-Franche-Comté,B,Industries extractives
Prêts garantis par l'Etat,1009.00,339718829.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière
Prêts garantis par l'Etat,21.00,7169340.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,1514.00,154740027.00,27,Bourgogne-Franche-Comté,F,Construction
Prêts garantis par l'Etat,3152.00,409920308.00,27,Bourgogne-Franche-Comté,G,Commerce
Prêts garantis par l'Etat,231.00,40684863.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage
Prêts garantis par l'Etat,1840.00,118422853.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration
Prêts garantis par l'Etat,122.00,17331159.00,27,Bourgogne-Franche-Comté,J,Information et communication
Prêts garantis par l'Etat,160.00,49016630.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance
Prêts garantis par l'Etat,185.00,13572724.00,27,Bourgogne-Franche-Comté,L,Activités immobilières
Prêts garantis par l'Etat,661.00,75796968.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,297.00,25560523.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,176.00,11193960.00,27,Bourgogne-Franche-Comté,P,Enseignement
Prêts garantis par l'Etat,733.00,38243978.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,174.00,15680873.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives"
