dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Prêts garantis par l'Etat,549.00,199715384.00,53,Bretagne,H,Transports et entreposage,2021-07-23
Prêts garantis par l'Etat,4974.00,335827494.00,53,Bretagne,I,Hébergement et restauration,2021-07-23
Prêts garantis par l'Etat,464.00,114301032.00,53,Bretagne,J,Information et communication,2021-07-23
Prêts garantis par l'Etat,422.00,1145657600.00,53,Bretagne,K,Activités financières et d'assurance,2021-07-23
Prêts garantis par l'Etat,499.00,51615326.00,53,Bretagne,L,Activités immobilières,2021-07-23
Prêts garantis par l'Etat,1814.00,376832478.00,53,Bretagne,M,"Activités spécialisées, scientifiques et techniques",2021-07-23
Prêts garantis par l'Etat,838.00,522245015.00,53,Bretagne,N,Activités de services administratifs et de soutien,2021-07-23
Prêts garantis par l'Etat,505.00,27415864.00,53,Bretagne,P,Enseignement,2021-07-23
Prêts garantis par l'Etat,1906.00,85760934.00,53,Bretagne,Q,Santé humaine et action sociale,2021-07-23
Prêts garantis par l'Etat,543.00,70858099.00,53,Bretagne,R,"Arts, spectacles et activités récréatives",2021-07-23
Prêts garantis par l'Etat,1774.00,69552923.00,53,Bretagne,S,Autres activités de services,2021-07-23
Prêts garantis par l'Etat,36.00,3962080.00,53,Bretagne,Z,Non connu,2021-07-23
Prêts garantis par l'Etat,905.00,65704194.00,24,Centre-Val de Loire,A,"Agriculture, sylviculture et pêche",2021-07-23
Prêts garantis par l'Etat,7.00,15853400.00,24,Centre-Val de Loire,B,Industries extractives,2021-07-23
Prêts garantis par l'Etat,1819.00,830836873.00,24,Centre-Val de Loire,C,Industrie manufacturière,2021-07-23
Prêts garantis par l'Etat,28.00,5874500.00,24,Centre-Val de Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-07-23
Prêts garantis par l'Etat,3160.00,321327997.00,24,Centre-Val de Loire,F,Construction,2021-07-23
Prêts garantis par l'Etat,4573.00,864842980.00,24,Centre-Val de Loire,G,Commerce,2021-07-23
Prêts garantis par l'Etat,601.00,72439068.00,24,Centre-Val de Loire,H,Transports et entreposage,2021-07-23
Prêts garantis par l'Etat,2930.00,183367551.00,24,Centre-Val de Loire,I,Hébergement et restauration,2021-07-23
Prêts garantis par l'Etat,322.00,52326764.00,24,Centre-Val de Loire,J,Information et communication,2021-07-23
Prêts garantis par l'Etat,325.00,271854015.00,24,Centre-Val de Loire,K,Activités financières et d'assurance,2021-07-23
Prêts garantis par l'Etat,384.00,21356860.00,24,Centre-Val de Loire,L,Activités immobilières,2021-07-23
Prêts garantis par l'Etat,1329.00,166644908.00,24,Centre-Val de Loire,M,"Activités spécialisées, scientifiques et techniques",2021-07-23
Prêts garantis par l'Etat,664.00,76250003.00,24,Centre-Val de Loire,N,Activités de services administratifs et de soutien,2021-07-23
Prêts garantis par l'Etat,407.00,24506940.00,24,Centre-Val de Loire,P,Enseignement,2021-07-23
Prêts garantis par l'Etat,1371.00,82347116.00,24,Centre-Val de Loire,Q,Santé humaine et action sociale,2021-07-23
Prêts garantis par l'Etat,497.00,59178326.00,24,Centre-Val de Loire,R,"Arts, spectacles et activités récréatives",2021-07-23
Prêts garantis par l'Etat,1421.00,33955542.00,24,Centre-Val de Loire,S,Autres activités de services,2021-07-23
Prêts garantis par l'Etat,48.00,23716176.00,24,Centre-Val de Loire,Z,Non connu,2021-07-23
Prêts garantis par l'Etat,264.00,19532633.00,94,Corse,A,"Agriculture, sylviculture et pêche",2021-07-23
Prêts garantis par l'Etat,385.00,84040440.00,94,Corse,C,Industrie manufacturière,2021-07-23
Prêts garantis par l'Etat,22.00,5005141.00,94,Corse,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-07-23
Prêts garantis par l'Etat,1031.00,145746678.00,94,Corse,F,Construction,2021-07-23
Prêts garantis par l'Etat,1645.00,331688731.00,94,Corse,G,Commerce,2021-07-23
Prêts garantis par l'Etat,189.00,106729070.00,94,Corse,H,Transports et entreposage,2021-07-23
Prêts garantis par l'Etat,1475.00,168976467.00,94,Corse,I,Hébergement et restauration,2021-07-23
Prêts garantis par l'Etat,88.00,11399390.00,94,Corse,J,Information et communication,2021-07-23
Prêts garantis par l'Etat,63.00,22285363.00,94,Corse,K,Activités financières et d'assurance,2021-07-23
Prêts garantis par l'Etat,176.00,11967839.00,94,Corse,L,Activités immobilières,2021-07-23
Prêts garantis par l'Etat,397.00,38982218.00,94,Corse,M,"Activités spécialisées, scientifiques et techniques",2021-07-23
Prêts garantis par l'Etat,265.00,76960261.00,94,Corse,N,Activités de services administratifs et de soutien,2021-07-23
Prêts garantis par l'Etat,72.00,3060562.00,94,Corse,P,Enseignement,2021-07-23
Prêts garantis par l'Etat,328.00,33252539.00,94,Corse,Q,Santé humaine et action sociale,2021-07-23
Prêts garantis par l'Etat,120.00,9823308.00,94,Corse,R,"Arts, spectacles et activités récréatives",2021-07-23
Prêts garantis par l'Etat,259.00,9968439.00,94,Corse,S,Autres activités de services,2021-07-23
Prêts garantis par l'Etat,8.00,1036582.00,94,Corse,Z,Non connu,2021-07-23
Prêts garantis par l'Etat,2174.00,181366419.00,44,Grand Est,A,"Agriculture, sylviculture et pêche",2021-07-23
Prêts garantis par l'Etat,11.00,18904000.00,44,Grand Est,B,Industries extractives,2021-07-23
Prêts garantis par l'Etat,4025.00,1746675214.00,44,Grand Est,C,Industrie manufacturière,2021-07-23
Prêts garantis par l'Etat,119.00,32803736.00,44,Grand Est,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-07-23
Prêts garantis par l'Etat,7072.00,947542349.00,44,Grand Est,F,Construction,2021-07-23
Prêts garantis par l'Etat,10774.00,2080687276.00,44,Grand Est,G,Commerce,2021-07-23
Prêts garantis par l'Etat,1269.00,282029167.00,44,Grand Est,H,Transports et entreposage,2021-07-23
Prêts garantis par l'Etat,6610.00,574172631.00,44,Grand Est,I,Hébergement et restauration,2021-07-23
Prêts garantis par l'Etat,663.00,103577860.00,44,Grand Est,J,Information et communication,2021-07-23
Prêts garantis par l'Etat,811.00,883173402.00,44,Grand Est,K,Activités financières et d'assurance,2021-07-23
Prêts garantis par l'Etat,891.00,122334490.00,44,Grand Est,L,Activités immobilières,2021-07-23
Prêts garantis par l'Etat,3412.00,457656321.00,44,Grand Est,M,"Activités spécialisées, scientifiques et techniques",2021-07-23
Prêts garantis par l'Etat,1425.00,241312101.00,44,Grand Est,N,Activités de services administratifs et de soutien,2021-07-23
Prêts garantis par l'Etat,3.00,254000.00,44,Grand Est,O,Administration publique,2021-07-23
Prêts garantis par l'Etat,859.00,63770145.00,44,Grand Est,P,Enseignement,2021-07-23
Prêts garantis par l'Etat,3517.00,255982348.00,44,Grand Est,Q,Santé humaine et action sociale,2021-07-23
Prêts garantis par l'Etat,851.00,104703829.00,44,Grand Est,R,"Arts, spectacles et activités récréatives",2021-07-23
Prêts garantis par l'Etat,3035.00,100004379.00,44,Grand Est,S,Autres activités de services,2021-07-23
Prêts garantis par l'Etat,48.00,8229677.00,44,Grand Est,Z,Non connu,2021-07-23
Prêts garantis par l'Etat,136.00,12105348.00,01,Guadeloupe,A,"Agriculture, sylviculture et pêche",2021-07-23
Prêts garantis par l'Etat,455.00,72284414.00,01,Guadeloupe,C,Industrie manufacturière,2021-07-23
Prêts garantis par l'Etat,8.00,950000.00,01,Guadeloupe,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-07-23
Prêts garantis par l'Etat,29.00,11738706.00,01,Guadeloupe,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-07-23
Prêts garantis par l'Etat,518.00,71724842.00,01,Guadeloupe,F,Construction,2021-07-23
Prêts garantis par l'Etat,1206.00,256065328.00,01,Guadeloupe,G,Commerce,2021-07-23
Prêts garantis par l'Etat,201.00,38233730.00,01,Guadeloupe,H,Transports et entreposage,2021-07-23
Prêts garantis par l'Etat,508.00,68375405.00,01,Guadeloupe,I,Hébergement et restauration,2021-07-23
Prêts garantis par l'Etat,96.00,15145185.00,01,Guadeloupe,J,Information et communication,2021-07-23
Prêts garantis par l'Etat,50.00,15892061.00,01,Guadeloupe,K,Activités financières et d'assurance,2021-07-23
Prêts garantis par l'Etat,89.00,9713992.00,01,Guadeloupe,L,Activités immobilières,2021-07-23
