dispositif,nombre_reports,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Reports d'échéances fiscales,13.00,170641.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche",2021-03-25
Reports d'échéances fiscales,5.00,152136.00,84,Auvergne-Rhône-Alpes,B,Industries extractives,2021-03-25
Reports d'échéances fiscales,1107.00,77512154.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière,2021-03-25
Reports d'échéances fiscales,14.00,1324825.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-03-25
Reports d'échéances fiscales,38.00,2889533.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-03-25
Reports d'échéances fiscales,1038.00,25724968.00,84,Auvergne-Rhône-Alpes,F,Construction,2021-03-25
Reports d'échéances fiscales,2523.00,91658366.00,84,Auvergne-Rhône-Alpes,G,Commerce,2021-03-25
Reports d'échéances fiscales,295.00,12547592.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage,2021-03-25
Reports d'échéances fiscales,1882.00,20997863.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration,2021-03-25
Reports d'échéances fiscales,281.00,13811492.00,84,Auvergne-Rhône-Alpes,J,Information et communication,2021-03-25
Reports d'échéances fiscales,470.00,19981441.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance,2021-03-25
Reports d'échéances fiscales,836.00,13715185.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières,2021-03-25
Reports d'échéances fiscales,1151.00,49223925.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques",2021-03-25
Reports d'échéances fiscales,459.00,15213865.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien,2021-03-25
Reports d'échéances fiscales,177.00,2245167.00,84,Auvergne-Rhône-Alpes,P,Enseignement,2021-03-25
Reports d'échéances fiscales,351.00,10394435.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale,2021-03-25
Reports d'échéances fiscales,258.00,15107381.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives",2021-03-25
Reports d'échéances fiscales,319.00,3257251.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services,2021-03-25
Reports d'échéances fiscales,92.00,661172.00,84,Auvergne-Rhône-Alpes,Z,Non connu,2021-03-25
Reports d'échéances fiscales,32.00,611210.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche",2021-03-25
Reports d'échéances fiscales,361.00,33897485.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière,2021-03-25
Reports d'échéances fiscales,7.00,122085.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-03-25
Reports d'échéances fiscales,209.00,2798772.00,27,Bourgogne-Franche-Comté,F,Construction,2021-03-25
Reports d'échéances fiscales,681.00,17178630.00,27,Bourgogne-Franche-Comté,G,Commerce,2021-03-25
Reports d'échéances fiscales,88.00,2412426.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage,2021-03-25
Reports d'échéances fiscales,547.00,2811511.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration,2021-03-25
Reports d'échéances fiscales,27.00,752200.00,27,Bourgogne-Franche-Comté,J,Information et communication,2021-03-25
