dispositif,nombre_beneficiaires,montant_total,reg,libelle_region,code_section,libelle_section
Aide CPSTI,216.00,186485.00,24,Centre-Val de Loire,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,4276.00,3603203.00,24,Centre-Val de Loire,C,Industrie manufacturière
Aide CPSTI,16.00,13310.00,24,Centre-Val de Loire,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,153.00,95083.00,24,Centre-Val de Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,9651.00,9430289.00,24,Centre-Val de Loire,F,Construction
Aide CPSTI,9205.00,7318864.00,24,Centre-Val de Loire,G,Commerce
Aide CPSTI,1336.00,1389884.00,24,Centre-Val de Loire,H,Transports et entreposage
Aide CPSTI,3761.00,3241917.00,24,Centre-Val de Loire,I,Hébergement et restauration
Aide CPSTI,427.00,307286.00,24,Centre-Val de Loire,J,Information et communication
Aide CPSTI,378.00,364822.00,24,Centre-Val de Loire,K,Activités financières et d'assurance
Aide CPSTI,1204.00,1147694.00,24,Centre-Val de Loire,L,Activités immobilières
Aide CPSTI,1135.00,817181.00,24,Centre-Val de Loire,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,1491.00,951916.00,24,Centre-Val de Loire,N,Activités de services administratifs et de soutien
Aide CPSTI,341.00,285939.00,24,Centre-Val de Loire,P,Enseignement
Aide CPSTI,438.00,293425.00,24,Centre-Val de Loire,Q,Santé humaine et action sociale
Aide CPSTI,602.00,355494.00,24,Centre-Val de Loire,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,4892.00,3606779.00,24,Centre-Val de Loire,S,Autres activités de services
Aide CPSTI,2418.00,2643181.00,24,Centre-Val de Loire,Z,Non connu
Aide CPSTI,27.00,24474.00,94,Corse,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,660.00,431811.00,94,Corse,C,Industrie manufacturière
Aide CPSTI,8.00,8082.00,94,Corse,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,2252.00,1759047.00,94,Corse,F,Construction
Aide CPSTI,1542.00,1233031.00,94,Corse,G,Commerce
Aide CPSTI,218.00,198246.00,94,Corse,H,Transports et entreposage
Aide CPSTI,1045.00,846644.00,94,Corse,I,Hébergement et restauration
Aide CPSTI,61.00,46010.00,94,Corse,J,Information et communication
Aide CPSTI,21.00,19687.00,94,Corse,K,Activités financières et d'assurance
Aide CPSTI,203.00,184092.00,94,Corse,L,Activités immobilières
Aide CPSTI,184.00,112514.00,94,Corse,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,418.00,242192.00,94,Corse,N,Activités de services administratifs et de soutien
Aide CPSTI,35.00,25329.00,94,Corse,P,Enseignement
Aide CPSTI,37.00,19888.00,94,Corse,Q,Santé humaine et action sociale
Aide CPSTI,75.00,40314.00,94,Corse,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,727.00,399679.00,94,Corse,S,Autres activités de services
Aide CPSTI,253.00,269070.00,94,Corse,Z,Non connu
Aide CPSTI,421.00,363527.00,44,Grand Est,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,7134.00,6056215.00,44,Grand Est,C,Industrie manufacturière
Aide CPSTI,62.00,54880.00,44,Grand Est,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,341.00,201499.00,44,Grand Est,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,15522.00,14472648.00,44,Grand Est,F,Construction
Aide CPSTI,17327.00,13766426.00,44,Grand Est,G,Commerce
Aide CPSTI,2257.00,2178703.00,44,Grand Est,H,Transports et entreposage
Aide CPSTI,6728.00,5851593.00,44,Grand Est,I,Hébergement et restauration
Aide CPSTI,962.00,667800.00,44,Grand Est,J,Information et communication
Aide CPSTI,752.00,760406.00,44,Grand Est,K,Activités financières et d'assurance
Aide CPSTI,2307.00,2252215.00,44,Grand Est,L,Activités immobilières
Aide CPSTI,2331.00,1718359.00,44,Grand Est,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,2694.00,1766586.00,44,Grand Est,N,Activités de services administratifs et de soutien
Aide CPSTI,653.00,585886.00,44,Grand Est,P,Enseignement
Aide CPSTI,868.00,648145.00,44,Grand Est,Q,Santé humaine et action sociale
Aide CPSTI,1146.00,574559.00,44,Grand Est,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,9958.00,6833544.00,44,Grand Est,S,Autres activités de services
Aide CPSTI,4002.00,4247588.00,44,Grand Est,Z,Non connu
Aide CPSTI,22.00,19835.00,01,Guadeloupe,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,381.00,245945.00,01,Guadeloupe,C,Industrie manufacturière
Aide CPSTI,4.00,3130.00,01,Guadeloupe,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,6.00,6057.00,01,Guadeloupe,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,677.00,472061.00,01,Guadeloupe,F,Construction
Aide CPSTI,847.00,607940.00,01,Guadeloupe,G,Commerce
Aide CPSTI,227.00,170064.00,01,Guadeloupe,H,Transports et entreposage
Aide CPSTI,349.00,228221.00,01,Guadeloupe,I,Hébergement et restauration
Aide CPSTI,82.00,50722.00,01,Guadeloupe,J,Information et communication
Aide CPSTI,33.00,27818.00,01,Guadeloupe,K,Activités financières et d'assurance
Aide CPSTI,109.00,89765.00,01,Guadeloupe,L,Activités immobilières
Aide CPSTI,163.00,102492.00,01,Guadeloupe,M,"Activités spécialisées, scientifiques et techniques"
