dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section
Prêts garantis par l'Etat,1419.00,55884545.00,53,Bretagne,S,Autres activités de services
Prêts garantis par l'Etat,161.00,9456516.00,53,Bretagne,Z,Non connu
Prêts garantis par l'Etat,545.00,40024698.00,24,Centre-Val de Loire,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,1280.00,485690050.00,24,Centre-Val de Loire,C,Industrie manufacturière
Prêts garantis par l'Etat,13.00,3310000.00,24,Centre-Val de Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,2315.00,247282899.00,24,Centre-Val de Loire,F,Construction
Prêts garantis par l'Etat,3541.00,543266411.00,24,Centre-Val de Loire,G,Commerce
Prêts garantis par l'Etat,393.00,56893859.00,24,Centre-Val de Loire,H,Transports et entreposage
Prêts garantis par l'Etat,2207.00,130504369.00,24,Centre-Val de Loire,I,Hébergement et restauration
Prêts garantis par l'Etat,197.00,39067423.00,24,Centre-Val de Loire,J,Information et communication
Prêts garantis par l'Etat,226.00,197599676.00,24,Centre-Val de Loire,K,Activités financières et d'assurance
Prêts garantis par l'Etat,260.00,14673626.00,24,Centre-Val de Loire,L,Activités immobilières
Prêts garantis par l'Etat,951.00,125851537.00,24,Centre-Val de Loire,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,467.00,61101629.00,24,Centre-Val de Loire,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,261.00,13968151.00,24,Centre-Val de Loire,P,Enseignement
Prêts garantis par l'Etat,1003.00,63839829.00,24,Centre-Val de Loire,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,324.00,39465483.00,24,Centre-Val de Loire,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,1140.00,25160311.00,24,Centre-Val de Loire,S,Autres activités de services
Prêts garantis par l'Etat,131.00,26930050.00,24,Centre-Val de Loire,Z,Non connu
Prêts garantis par l'Etat,142.00,13909313.00,94,Corse,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,260.00,49895203.00,94,Corse,C,Industrie manufacturière
Prêts garantis par l'Etat,15.00,5899141.00,94,Corse,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,666.00,92743243.00,94,Corse,F,Construction
Prêts garantis par l'Etat,1202.00,241191407.00,94,Corse,G,Commerce
Prêts garantis par l'Etat,118.00,54502655.00,94,Corse,H,Transports et entreposage
Prêts garantis par l'Etat,1020.00,112991674.00,94,Corse,I,Hébergement et restauration
Prêts garantis par l'Etat,58.00,5718650.00,94,Corse,J,Information et communication
Prêts garantis par l'Etat,47.00,13742675.00,94,Corse,K,Activités financières et d'assurance
Prêts garantis par l'Etat,126.00,10367756.00,94,Corse,L,Activités immobilières
Prêts garantis par l'Etat,256.00,27215193.00,94,Corse,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,180.00,25379340.00,94,Corse,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,41.00,2047300.00,94,Corse,P,Enseignement
Prêts garantis par l'Etat,198.00,22925796.00,94,Corse,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,81.00,7088826.00,94,Corse,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,198.00,8709402.00,94,Corse,S,Autres activités de services
Prêts garantis par l'Etat,22.00,1729000.00,94,Corse,Z,Non connu
Prêts garantis par l'Etat,996.00,102787275.00,44,Grand Est,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,3.00,15969000.00,44,Grand Est,B,Industries extractives
Prêts garantis par l'Etat,2819.00,1335801784.00,44,Grand Est,C,Industrie manufacturière
Prêts garantis par l'Etat,53.00,11406614.00,44,Grand Est,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,5027.00,686941689.00,44,Grand Est,F,Construction
Prêts garantis par l'Etat,8201.00,1530195431.00,44,Grand Est,G,Commerce
Prêts garantis par l'Etat,790.00,193786464.00,44,Grand Est,H,Transports et entreposage
Prêts garantis par l'Etat,5058.00,412899958.00,44,Grand Est,I,Hébergement et restauration
Prêts garantis par l'Etat,440.00,70654212.00,44,Grand Est,J,Information et communication
Prêts garantis par l'Etat,559.00,495922426.00,44,Grand Est,K,Activités financières et d'assurance
Prêts garantis par l'Etat,628.00,93192796.00,44,Grand Est,L,Activités immobilières
Prêts garantis par l'Etat,2358.00,328880737.00,44,Grand Est,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,956.00,152080221.00,44,Grand Est,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,595.00,40196221.00,44,Grand Est,P,Enseignement
Prêts garantis par l'Etat,2448.00,196875833.00,44,Grand Est,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,503.00,68014524.00,44,Grand Est,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,2331.00,75053573.00,44,Grand Est,S,Autres activités de services
Prêts garantis par l'Etat,187.00,27785446.00,44,Grand Est,Z,Non connu
Prêts garantis par l'Etat,56.00,4234900.00,01,Guadeloupe,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,243.00,39505232.00,01,Guadeloupe,C,Industrie manufacturière
Prêts garantis par l'Etat,5.00,535000.00,01,Guadeloupe,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,13.00,6940306.00,01,Guadeloupe,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,242.00,43467431.00,01,Guadeloupe,F,Construction
Prêts garantis par l'Etat,744.00,193939852.00,01,Guadeloupe,G,Commerce
Prêts garantis par l'Etat,93.00,26753931.00,01,Guadeloupe,H,Transports et entreposage
Prêts garantis par l'Etat,283.00,40759756.00,01,Guadeloupe,I,Hébergement et restauration
Prêts garantis par l'Etat,49.00,5400168.00,01,Guadeloupe,J,Information et communication
Prêts garantis par l'Etat,25.00,9346189.00,01,Guadeloupe,K,Activités financières et d'assurance
Prêts garantis par l'Etat,48.00,5314740.00,01,Guadeloupe,L,Activités immobilières
Prêts garantis par l'Etat,202.00,28419145.00,01,Guadeloupe,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,177.00,24365091.00,01,Guadeloupe,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,34.00,2315430.00,01,Guadeloupe,P,Enseignement
Prêts garantis par l'Etat,156.00,12721432.00,01,Guadeloupe,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,43.00,3155335.00,01,Guadeloupe,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,65.00,2702509.00,01,Guadeloupe,S,Autres activités de services
Prêts garantis par l'Etat,3.00,2711398.00,01,Guadeloupe,Z,Non connu
Prêts garantis par l'Etat,41.00,9588506.00,03,Guyane,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,206.00,28397976.00,03,Guyane,C,Industrie manufacturière
Prêts garantis par l'Etat,8.00,1282000.00,03,Guyane,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,198.00,29382997.00,03,Guyane,F,Construction
Prêts garantis par l'Etat,630.00,144205139.00,03,Guyane,G,Commerce
Prêts garantis par l'Etat,97.00,28779449.00,03,Guyane,H,Transports et entreposage
Prêts garantis par l'Etat,221.00,21789552.00,03,Guyane,I,Hébergement et restauration
Prêts garantis par l'Etat,41.00,4715652.00,03,Guyane,J,Information et communication
Prêts garantis par l'Etat,52.00,139339727.00,03,Guyane,K,Activités financières et d'assurance
Prêts garantis par l'Etat,32.00,2367015.00,03,Guyane,L,Activités immobilières
Prêts garantis par l'Etat,197.00,27680727.00,03,Guyane,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,136.00,18177175.00,03,Guyane,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,34.00,1062868.00,03,Guyane,P,Enseignement
Prêts garantis par l'Etat,177.00,13376489.00,03,Guyane,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,37.00,5009909.00,03,Guyane,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,108.00,5331193.00,03,Guyane,S,Autres activités de services
Prêts garantis par l'Etat,13.00,3038921.00,03,Guyane,Z,Non connu
Prêts garantis par l'Etat,437.00,36046450.00,32,Hauts-de-France,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,2043.00,771683987.00,32,Hauts-de-France,C,Industrie manufacturière
Prêts garantis par l'Etat,3.00,966877.00,32,Hauts-de-France,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,61.00,26664950.00,32,Hauts-de-France,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,4104.00,708821890.00,32,Hauts-de-France,F,Construction
Prêts garantis par l'Etat,6852.00,2206294313.00,32,Hauts-de-France,G,Commerce
Prêts garantis par l'Etat,865.00,234787487.00,32,Hauts-de-France,H,Transports et entreposage
Prêts garantis par l'Etat,4425.00,318551867.00,32,Hauts-de-France,I,Hébergement et restauration
Prêts garantis par l'Etat,485.00,98160624.00,32,Hauts-de-France,J,Information et communication
Prêts garantis par l'Etat,425.00,436194533.00,32,Hauts-de-France,K,Activités financières et d'assurance
Prêts garantis par l'Etat,572.00,58141192.00,32,Hauts-de-France,L,Activités immobilières
Prêts garantis par l'Etat,2273.00,325004029.00,32,Hauts-de-France,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,867.00,138763217.00,32,Hauts-de-France,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,594.00,43563428.00,32,Hauts-de-France,P,Enseignement
Prêts garantis par l'Etat,2374.00,160812445.00,32,Hauts-de-France,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,553.00,56722277.00,32,Hauts-de-France,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,2065.00,63495448.00,32,Hauts-de-France,S,Autres activités de services
Prêts garantis par l'Etat,153.00,17258845.00,32,Hauts-de-France,Z,Non connu
Prêts garantis par l'Etat,113.00,13637252.00,04,La Réunion,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,3.00,2300000.00,04,La Réunion,B,Industries extractives
Prêts garantis par l'Etat,465.00,72714177.00,04,La Réunion,C,Industrie manufacturière
Prêts garantis par l'Etat,5.00,793343.00,04,La Réunion,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,19.00,4242000.00,04,La Réunion,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,711.00,82400564.00,04,La Réunion,F,Construction
Prêts garantis par l'Etat,1388.00,316379342.00,04,La Réunion,G,Commerce
Prêts garantis par l'Etat,183.00,92166244.00,04,La Réunion,H,Transports et entreposage
Prêts garantis par l'Etat,488.00,41983992.00,04,La Réunion,I,Hébergement et restauration
Prêts garantis par l'Etat,66.00,10582926.00,04,La Réunion,J,Information et communication
Prêts garantis par l'Etat,66.00,23755730.00,04,La Réunion,K,Activités financières et d'assurance
Prêts garantis par l'Etat,64.00,3825173.00,04,La Réunion,L,Activités immobilières
Prêts garantis par l'Etat,333.00,94357640.00,04,La Réunion,M,"Activités spécialisées, scientifiques et techniques"
