dispositif,volet,nombre_aides,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,VOLET1,6962,9437729.00,53,Bretagne,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,3023,3775815.00,53,Bretagne,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,3,4500.00,53,Bretagne,O,Administration publique
Fonds de solidarité,VOLET1,3710,4575371.00,53,Bretagne,P,Enseignement
Fonds de solidarité,VOLET1,10690,14656293.00,53,Bretagne,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,3663,4401829.00,53,Bretagne,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,12197,15548258.00,53,Bretagne,S,Autres activités de services
Fonds de solidarité,VOLET1,1345,1852997.00,24,Centre-Val de Loire,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,2725,3485341.00,24,Centre-Val de Loire,C,Industrie manufacturière
Fonds de solidarité,VOLET1,5,7500.00,24,Centre-Val de Loire,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,135,143824.00,24,Centre-Val de Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,8222,11787347.00,24,Centre-Val de Loire,F,Construction
Fonds de solidarité,VOLET1,11230,14877334.00,24,Centre-Val de Loire,G,Commerce
Fonds de solidarité,VOLET1,1539,2182680.00,24,Centre-Val de Loire,H,Transports et entreposage
Fonds de solidarité,VOLET1,7706,11108764.00,24,Centre-Val de Loire,I,Hébergement et restauration
Fonds de solidarité,VOLET1,852,1099937.00,24,Centre-Val de Loire,J,Information et communication
Fonds de solidarité,VOLET1,422,596125.00,24,Centre-Val de Loire,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,1741,2353572.00,24,Centre-Val de Loire,L,Activités immobilières
Fonds de solidarité,VOLET1,4398,5945189.00,24,Centre-Val de Loire,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,2360,2995848.00,24,Centre-Val de Loire,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,2722,3411203.00,24,Centre-Val de Loire,P,Enseignement
Fonds de solidarité,VOLET1,5489,7382968.00,24,Centre-Val de Loire,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,2678,3284327.00,24,Centre-Val de Loire,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,9576,12123767.00,24,Centre-Val de Loire,S,Autres activités de services
Fonds de solidarité,VOLET1,1094,1518088.00,94,Corse,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,1039,1383413.00,94,Corse,C,Industrie manufacturière
Fonds de solidarité,VOLET1,10,14406.00,94,Corse,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,2716,3862899.00,94,Corse,F,Construction
Fonds de solidarité,VOLET1,2786,3889589.00,94,Corse,G,Commerce
Fonds de solidarité,VOLET1,397,564125.00,94,Corse,H,Transports et entreposage
Fonds de solidarité,VOLET1,2570,3689790.00,94,Corse,I,Hébergement et restauration
Fonds de solidarité,VOLET1,176,238224.00,94,Corse,J,Information et communication
Fonds de solidarité,VOLET1,68,94731.00,94,Corse,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,586,798925.00,94,Corse,L,Activités immobilières
Fonds de solidarité,VOLET1,1789,2496844.00,94,Corse,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,992,1265758.00,94,Corse,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,524,654105.00,94,Corse,P,Enseignement
Fonds de solidarité,VOLET1,1048,1420561.00,94,Corse,Q,Santé humaine et action sociale
