dispositif,nombre_pge,montant_total,reg,libelle_region,dep,libelle_departement,code_section,libelle_section,date_maj
Prêts garantis par l'Etat,120.00,5681994.00,84,Auvergne-Rhône-Alpes,01,Ain,A,"Agriculture, sylviculture et pêche",2021-03-05
Prêts garantis par l'Etat,662.00,277250959.00,84,Auvergne-Rhône-Alpes,01,Ain,C,Industrie manufacturière,2021-03-05
Prêts garantis par l'Etat,14.00,4525000.00,84,Auvergne-Rhône-Alpes,01,Ain,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-03-05
Prêts garantis par l'Etat,992.00,101248319.00,84,Auvergne-Rhône-Alpes,01,Ain,F,Construction,2021-03-05
Prêts garantis par l'Etat,1253.00,287525181.00,84,Auvergne-Rhône-Alpes,01,Ain,G,Commerce,2021-03-05
Prêts garantis par l'Etat,124.00,11828024.00,84,Auvergne-Rhône-Alpes,01,Ain,H,Transports et entreposage,2021-03-05
Prêts garantis par l'Etat,776.00,58575084.00,84,Auvergne-Rhône-Alpes,01,Ain,I,Hébergement et restauration,2021-03-05
Prêts garantis par l'Etat,60.00,7960606.00,84,Auvergne-Rhône-Alpes,01,Ain,J,Information et communication,2021-03-05
Prêts garantis par l'Etat,69.00,35401205.00,84,Auvergne-Rhône-Alpes,01,Ain,K,Activités financières et d'assurance,2021-03-05
Prêts garantis par l'Etat,89.00,46416550.00,84,Auvergne-Rhône-Alpes,01,Ain,L,Activités immobilières,2021-03-05
Prêts garantis par l'Etat,397.00,109186089.00,84,Auvergne-Rhône-Alpes,01,Ain,M,"Activités spécialisées, scientifiques et techniques",2021-03-05
Prêts garantis par l'Etat,196.00,14659805.00,84,Auvergne-Rhône-Alpes,01,Ain,N,Activités de services administratifs et de soutien,2021-03-05
Prêts garantis par l'Etat,111.00,5958119.00,84,Auvergne-Rhône-Alpes,01,Ain,P,Enseignement,2021-03-05
Prêts garantis par l'Etat,304.00,19761018.00,84,Auvergne-Rhône-Alpes,01,Ain,Q,Santé humaine et action sociale,2021-03-05
Prêts garantis par l'Etat,96.00,8621445.00,84,Auvergne-Rhône-Alpes,01,Ain,R,"Arts, spectacles et activités récréatives",2021-03-05
Prêts garantis par l'Etat,354.00,8743976.00,84,Auvergne-Rhône-Alpes,01,Ain,S,Autres activités de services,2021-03-05
