dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section
Prêts garantis par l'Etat,258.00,37949079.00,53,Bretagne,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,1253.00,47244910.00,53,Bretagne,S,Autres activités de services
Prêts garantis par l'Etat,148.00,9848496.00,53,Bretagne,Z,Non connu
Prêts garantis par l'Etat,410.00,30084427.00,24,Centre-Val de Loire,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,996.00,402593070.00,24,Centre-Val de Loire,C,Industrie manufacturière
Prêts garantis par l'Etat,10.00,1295000.00,24,Centre-Val de Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,1842.00,201585709.00,24,Centre-Val de Loire,F,Construction
Prêts garantis par l'Etat,2936.00,443753374.00,24,Centre-Val de Loire,G,Commerce
Prêts garantis par l'Etat,310.00,45725038.00,24,Centre-Val de Loire,H,Transports et entreposage
Prêts garantis par l'Etat,1829.00,110056511.00,24,Centre-Val de Loire,I,Hébergement et restauration
Prêts garantis par l'Etat,150.00,25873583.00,24,Centre-Val de Loire,J,Information et communication
Prêts garantis par l'Etat,163.00,105136488.00,24,Centre-Val de Loire,K,Activités financières et d'assurance
Prêts garantis par l'Etat,214.00,11726312.00,24,Centre-Val de Loire,L,Activités immobilières
Prêts garantis par l'Etat,760.00,111082028.00,24,Centre-Val de Loire,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,361.00,48033851.00,24,Centre-Val de Loire,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,212.00,11698455.00,24,Centre-Val de Loire,P,Enseignement
Prêts garantis par l'Etat,846.00,50403619.00,24,Centre-Val de Loire,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,248.00,34624268.00,24,Centre-Val de Loire,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,1012.00,21945749.00,24,Centre-Val de Loire,S,Autres activités de services
Prêts garantis par l'Etat,109.00,24364550.00,24,Centre-Val de Loire,Z,Non connu
Prêts garantis par l'Etat,107.00,11720366.00,94,Corse,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,215.00,44094474.00,94,Corse,C,Industrie manufacturière
Prêts garantis par l'Etat,5.00,1968541.00,94,Corse,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,521.00,73512061.00,94,Corse,F,Construction
Prêts garantis par l'Etat,939.00,190734376.00,94,Corse,G,Commerce
Prêts garantis par l'Etat,85.00,13611155.00,94,Corse,H,Transports et entreposage
Prêts garantis par l'Etat,781.00,90060435.00,94,Corse,I,Hébergement et restauration
Prêts garantis par l'Etat,35.00,3889025.00,94,Corse,J,Information et communication
Prêts garantis par l'Etat,36.00,9262675.00,94,Corse,K,Activités financières et d'assurance
Prêts garantis par l'Etat,102.00,8897981.00,94,Corse,L,Activités immobilières
Prêts garantis par l'Etat,207.00,23030768.00,94,Corse,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,137.00,16735275.00,94,Corse,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,29.00,1318300.00,94,Corse,P,Enseignement
Prêts garantis par l'Etat,161.00,18175443.00,94,Corse,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,56.00,5405226.00,94,Corse,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,168.00,8081281.00,94,Corse,S,Autres activités de services
Prêts garantis par l'Etat,21.00,1404600.00,94,Corse,Z,Non connu
Prêts garantis par l'Etat,720.00,78787980.00,44,Grand Est,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,3.00,14969000.00,44,Grand Est,B,Industries extractives
Prêts garantis par l'Etat,2198.00,1056080438.00,44,Grand Est,C,Industrie manufacturière
Prêts garantis par l'Etat,43.00,9027210.00,44,Grand Est,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,3906.00,562005036.00,44,Grand Est,F,Construction
Prêts garantis par l'Etat,6641.00,1238976092.00,44,Grand Est,G,Commerce
Prêts garantis par l'Etat,596.00,161775573.00,44,Grand Est,H,Transports et entreposage
Prêts garantis par l'Etat,4116.00,335288953.00,44,Grand Est,I,Hébergement et restauration
Prêts garantis par l'Etat,319.00,42556902.00,44,Grand Est,J,Information et communication
Prêts garantis par l'Etat,416.00,214227032.00,44,Grand Est,K,Activités financières et d'assurance
Prêts garantis par l'Etat,484.00,45615147.00,44,Grand Est,L,Activités immobilières
Prêts garantis par l'Etat,1814.00,258699011.00,44,Grand Est,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,731.00,111031081.00,44,Grand Est,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,464.00,30560411.00,44,Grand Est,P,Enseignement
Prêts garantis par l'Etat,1958.00,156590248.00,44,Grand Est,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,354.00,49433407.00,44,Grand Est,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,2025.00,59526172.00,44,Grand Est,S,Autres activités de services
Prêts garantis par l'Etat,157.00,24422996.00,44,Grand Est,Z,Non connu
Prêts garantis par l'Etat,25.00,2296300.00,01,Guadeloupe,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,145.00,23953135.00,01,Guadeloupe,C,Industrie manufacturière
Prêts garantis par l'Etat,9.00,5396306.00,01,Guadeloupe,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,153.00,33201323.00,01,Guadeloupe,F,Construction
Prêts garantis par l'Etat,508.00,160933455.00,01,Guadeloupe,G,Commerce
Prêts garantis par l'Etat,51.00,18476010.00,01,Guadeloupe,H,Transports et entreposage
Prêts garantis par l'Etat,189.00,32071282.00,01,Guadeloupe,I,Hébergement et restauration
Prêts garantis par l'Etat,33.00,3138401.00,01,Guadeloupe,J,Information et communication
Prêts garantis par l'Etat,14.00,7606590.00,01,Guadeloupe,K,Activités financières et d'assurance
Prêts garantis par l'Etat,33.00,3048888.00,01,Guadeloupe,L,Activités immobilières
Prêts garantis par l'Etat,140.00,24720878.00,01,Guadeloupe,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,114.00,16589516.00,01,Guadeloupe,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,21.00,914120.00,01,Guadeloupe,P,Enseignement
Prêts garantis par l'Etat,104.00,6321561.00,01,Guadeloupe,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,32.00,2488649.00,01,Guadeloupe,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,46.00,1843608.00,01,Guadeloupe,S,Autres activités de services
Prêts garantis par l'Etat,5.00,546398.00,01,Guadeloupe,Z,Non connu
Prêts garantis par l'Etat,9.00,208500.00,03,Guyane,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,41.00,7005861.00,03,Guyane,C,Industrie manufacturière
Prêts garantis par l'Etat,40.00,7670672.00,03,Guyane,F,Construction
Prêts garantis par l'Etat,98.00,27072079.00,03,Guyane,G,Commerce
