dispositif,volet,nombre_aides,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,VOLET2,12,27000.00,24,Centre-Val de Loire,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET2,21,51000.00,24,Centre-Val de Loire,P,Enseignement
Fonds de solidarité,VOLET2,4,8000.00,24,Centre-Val de Loire,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET2,33,114456.00,24,Centre-Val de Loire,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET2,63,136500.00,24,Centre-Val de Loire,S,Autres activités de services
Fonds de solidarité,VOLET2,11,25000.00,94,Corse,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET2,16,38000.00,94,Corse,C,Industrie manufacturière
Fonds de solidarité,VOLET2,23,67000.00,94,Corse,F,Construction
Fonds de solidarité,VOLET2,57,148500.00,94,Corse,G,Commerce
Fonds de solidarité,VOLET2,102,274836.66,94,Corse,I,Hébergement et restauration
Fonds de solidarité,VOLET2,4,8000.00,94,Corse,J,Information et communication
Fonds de solidarité,VOLET2,13,27500.00,94,Corse,L,Activités immobilières
Fonds de solidarité,VOLET2,34,92000.00,94,Corse,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET2,11,26500.00,94,Corse,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET2,3,6000.00,94,Corse,P,Enseignement
Fonds de solidarité,VOLET2,7,18500.00,94,Corse,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET2,10,23000.00,94,Corse,S,Autres activités de services
Fonds de solidarité,VOLET2,10,23000.00,44,Grand Est,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET2,26,80500.00,44,Grand Est,C,Industrie manufacturière
Fonds de solidarité,VOLET2,72,188987.00,44,Grand Est,F,Construction
Fonds de solidarité,VOLET2,168,440402.00,44,Grand Est,G,Commerce
Fonds de solidarité,VOLET2,19,51991.00,44,Grand Est,H,Transports et entreposage
Fonds de solidarité,VOLET2,339,1040140.74,44,Grand Est,I,Hébergement et restauration
Fonds de solidarité,VOLET2,6,12000.00,44,Grand Est,J,Information et communication
Fonds de solidarité,VOLET2,6,15000.00,44,Grand Est,K,Activités financières et d'assurance
Fonds de solidarité,VOLET2,10,24500.00,44,Grand Est,L,Activités immobilières
Fonds de solidarité,VOLET2,51,137200.00,44,Grand Est,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET2,27,81127.00,44,Grand Est,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET2,36,85500.00,44,Grand Est,P,Enseignement
Fonds de solidarité,VOLET2,8,19000.00,44,Grand Est,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET2,42,129889.00,44,Grand Est,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET2,86,184500.00,44,Grand Est,S,Autres activités de services
Fonds de solidarité,VOLET2,6,12000.00,01,Guadeloupe,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET2,42,107495.14,01,Guadeloupe,C,Industrie manufacturière
Fonds de solidarité,VOLET2,38,107500.00,01,Guadeloupe,F,Construction
Fonds de solidarité,VOLET2,80,193000.00,01,Guadeloupe,G,Commerce
Fonds de solidarité,VOLET2,17,35500.00,01,Guadeloupe,H,Transports et entreposage
Fonds de solidarité,VOLET2,90,207000.00,01,Guadeloupe,I,Hébergement et restauration
Fonds de solidarité,VOLET2,9,22500.00,01,Guadeloupe,J,Information et communication
Fonds de solidarité,VOLET2,3,6000.00,01,Guadeloupe,K,Activités financières et d'assurance
Fonds de solidarité,VOLET2,6,15000.00,01,Guadeloupe,L,Activités immobilières
Fonds de solidarité,VOLET2,30,70500.00,01,Guadeloupe,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET2,46,114500.00,01,Guadeloupe,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET2,13,30200.00,01,Guadeloupe,P,Enseignement
Fonds de solidarité,VOLET2,10,26000.00,01,Guadeloupe,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET2,12,33000.00,01,Guadeloupe,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET2,39,79500.00,01,Guadeloupe,S,Autres activités de services
Fonds de solidarité,VOLET2,4,10551.00,03,Guyane,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET2,7,17000.00,03,Guyane,C,Industrie manufacturière
Fonds de solidarité,VOLET2,27,70088.00,03,Guyane,F,Construction
Fonds de solidarité,VOLET2,13,41350.00,03,Guyane,G,Commerce
Fonds de solidarité,VOLET2,5,27219.00,03,Guyane,H,Transports et entreposage
Fonds de solidarité,VOLET2,41,250558.15,03,Guyane,I,Hébergement et restauration
Fonds de solidarité,VOLET2,4,8000.00,03,Guyane,J,Information et communication
Fonds de solidarité,VOLET2,12,44267.00,03,Guyane,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET2,12,34395.00,03,Guyane,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET2,8,21100.00,03,Guyane,P,Enseignement
Fonds de solidarité,VOLET2,12,62965.92,03,Guyane,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET2,14,54556.00,03,Guyane,S,Autres activités de services
Fonds de solidarité,VOLET2,8,16000.00,32,Hauts-de-France,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET2,25,78500.00,32,Hauts-de-France,C,Industrie manufacturière
Fonds de solidarité,VOLET2,56,157377.00,32,Hauts-de-France,F,Construction
Fonds de solidarité,VOLET2,199,541000.00,32,Hauts-de-France,G,Commerce
Fonds de solidarité,VOLET2,44,128547.58,32,Hauts-de-France,H,Transports et entreposage
Fonds de solidarité,VOLET2,356,1326823.44,32,Hauts-de-France,I,Hébergement et restauration
Fonds de solidarité,VOLET2,5,21000.00,32,Hauts-de-France,J,Information et communication
Fonds de solidarité,VOLET2,12,28500.00,32,Hauts-de-France,K,Activités financières et d'assurance
Fonds de solidarité,VOLET2,30,70500.00,32,Hauts-de-France,L,Activités immobilières
Fonds de solidarité,VOLET2,70,190543.68,32,Hauts-de-France,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET2,30,119079.76,32,Hauts-de-France,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET2,45,130756.65,32,Hauts-de-France,P,Enseignement
Fonds de solidarité,VOLET2,13,26000.00,32,Hauts-de-France,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET2,54,209002.77,32,Hauts-de-France,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET2,96,238500.00,32,Hauts-de-France,S,Autres activités de services
Fonds de solidarité,VOLET2,14,41280.00,11,Île-de-France,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET2,169,429570.00,11,Île-de-France,C,Industrie manufacturière
Fonds de solidarité,VOLET2,5,10000.00,11,Île-de-France,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET2,13,30500.00,11,Île-de-France,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET2,460,1140300.00,11,Île-de-France,F,Construction
Fonds de solidarité,VOLET2,1428,3710863.03,11,Île-de-France,G,Commerce
Fonds de solidarité,VOLET2,1475,3484646.97,11,Île-de-France,H,Transports et entreposage
Fonds de solidarité,VOLET2,1808,5754318.67,11,Île-de-France,I,Hébergement et restauration
Fonds de solidarité,VOLET2,267,667402.00,11,Île-de-France,J,Information et communication
Fonds de solidarité,VOLET2,102,238500.00,11,Île-de-France,K,Activités financières et d'assurance
Fonds de solidarité,VOLET2,197,472000.00,11,Île-de-France,L,Activités immobilières
Fonds de solidarité,VOLET2,802,2005343.00,11,Île-de-France,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET2,372,962766.49,11,Île-de-France,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET2,281,677106.11,11,Île-de-France,P,Enseignement
Fonds de solidarité,VOLET2,119,279500.00,11,Île-de-France,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET2,263,679519.41,11,Île-de-France,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET2,705,1610696.82,11,Île-de-France,S,Autres activités de services
Fonds de solidarité,VOLET2,5,10000.00,02,Martinique,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET2,40,110000.00,02,Martinique,C,Industrie manufacturière
Fonds de solidarité,VOLET2,37,96500.00,02,Martinique,F,Construction
Fonds de solidarité,VOLET2,103,270500.00,02,Martinique,G,Commerce
Fonds de solidarité,VOLET2,16,38000.00,02,Martinique,H,Transports et entreposage
Fonds de solidarité,VOLET2,67,177000.00,02,Martinique,I,Hébergement et restauration
Fonds de solidarité,VOLET2,5,11500.00,02,Martinique,J,Information et communication
Fonds de solidarité,VOLET2,6,16500.00,02,Martinique,K,Activités financières et d'assurance
Fonds de solidarité,VOLET2,5,10000.00,02,Martinique,L,Activités immobilières
Fonds de solidarité,VOLET2,43,101000.00,02,Martinique,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET2,29,63984.00,02,Martinique,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET2,9,18000.00,02,Martinique,P,Enseignement
Fonds de solidarité,VOLET2,3,7500.00,02,Martinique,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET2,11,25000.00,02,Martinique,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET2,54,114000.00,02,Martinique,S,Autres activités de services
Fonds de solidarité,VOLET2,3,6000.00,06,Mayotte,G,Commerce
Fonds de solidarité,VOLET2,14,37441.00,28,Normandie,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET2,14,35500.00,28,Normandie,C,Industrie manufacturière
Fonds de solidarité,VOLET2,43,113619.00,28,Normandie,F,Construction
Fonds de solidarité,VOLET2,136,354500.00,28,Normandie,G,Commerce
Fonds de solidarité,VOLET2,10,20000.00,28,Normandie,H,Transports et entreposage
Fonds de solidarité,VOLET2,209,513121.81,28,Normandie,I,Hébergement et restauration
Fonds de solidarité,VOLET2,10,29000.00,28,Normandie,J,Information et communication
Fonds de solidarité,VOLET2,5,10000.00,28,Normandie,K,Activités financières et d'assurance
Fonds de solidarité,VOLET2,8,16000.00,28,Normandie,L,Activités immobilières
Fonds de solidarité,VOLET2,38,84862.79,28,Normandie,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET2,13,32000.00,28,Normandie,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET2,21,43500.00,28,Normandie,P,Enseignement
Fonds de solidarité,VOLET2,7,18500.00,28,Normandie,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET2,33,78000.00,28,Normandie,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET2,57,121500.00,28,Normandie,S,Autres activités de services
Fonds de solidarité,VOLET2,48,135500.00,75,Nouvelle-Aquitaine,A,"Agriculture, sylviculture et pêche"
