dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Prêts garantis par l'Etat,2044.00,107187020.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche",2021-02-05
Prêts garantis par l'Etat,18.00,6182000.00,84,Auvergne-Rhône-Alpes,B,Industries extractives,2021-02-05
Prêts garantis par l'Etat,7545.00,2698044684.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière,2021-02-05
Prêts garantis par l'Etat,10.00,852000.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-02-05
Prêts garantis par l'Etat,186.00,69946753.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-02-05
Prêts garantis par l'Etat,11973.00,1491472805.00,84,Auvergne-Rhône-Alpes,F,Construction,2021-02-05
Prêts garantis par l'Etat,19222.00,3702088930.00,84,Auvergne-Rhône-Alpes,G,Commerce,2021-02-05
Prêts garantis par l'Etat,2327.00,458815982.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage,2021-02-05
Prêts garantis par l'Etat,12770.00,1123877128.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration,2021-02-05
Prêts garantis par l'Etat,1622.00,408377730.00,84,Auvergne-Rhône-Alpes,J,Information et communication,2021-02-05
Prêts garantis par l'Etat,1372.00,1214445060.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance,2021-02-05
Prêts garantis par l'Etat,1887.00,198847560.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières,2021-02-05
Prêts garantis par l'Etat,7513.00,1645448475.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques",2021-02-05
Prêts garantis par l'Etat,3123.00,427119416.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien,2021-02-05
Prêts garantis par l'Etat,1716.00,102881047.00,84,Auvergne-Rhône-Alpes,P,Enseignement,2021-02-05
Prêts garantis par l'Etat,5265.00,331510755.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale,2021-02-05
Prêts garantis par l'Etat,1678.00,337894062.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives",2021-02-05
Prêts garantis par l'Etat,4797.00,153888454.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services,2021-02-05
Prêts garantis par l'Etat,83.00,8765890.00,84,Auvergne-Rhône-Alpes,Z,Non connu,2021-02-05
Prêts garantis par l'Etat,1274.00,106130950.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche",2021-02-05
Prêts garantis par l'Etat,14.00,4922500.00,27,Bourgogne-Franche-Comté,B,Industries extractives,2021-02-05
Prêts garantis par l'Etat,2271.00,886367520.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière,2021-02-05
Prêts garantis par l'Etat,3.00,137000.00,27,Bourgogne-Franche-Comté,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-02-05
Prêts garantis par l'Etat,67.00,16782754.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-02-05
Prêts garantis par l'Etat,3312.00,345358522.00,27,Bourgogne-Franche-Comté,F,Construction,2021-02-05
Prêts garantis par l'Etat,5900.00,892776588.00,27,Bourgogne-Franche-Comté,G,Commerce,2021-02-05
