dispositif,volet,nombre_aides,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,VOLET1,8423,11529168.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,13,16100.00,84,Auvergne-Rhône-Alpes,B,Industries extractives
Fonds de solidarité,VOLET1,18193,23326211.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière
Fonds de solidarité,VOLET1,144,191880.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,960,1183515.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,50816,73171691.00,84,Auvergne-Rhône-Alpes,F,Construction
Fonds de solidarité,VOLET1,65897,88089677.00,84,Auvergne-Rhône-Alpes,G,Commerce
Fonds de solidarité,VOLET1,15804,22001658.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage
Fonds de solidarité,VOLET1,52394,75386871.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration
Fonds de solidarité,VOLET1,7096,9319506.00,84,Auvergne-Rhône-Alpes,J,Information et communication
Fonds de solidarité,VOLET1,3216,4541813.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,12092,16465366.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières
Fonds de solidarité,VOLET1,37691,51089731.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,17626,22850615.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,8,11222.00,84,Auvergne-Rhône-Alpes,O,Administration publique
Fonds de solidarité,VOLET1,35638,45476311.00,84,Auvergne-Rhône-Alpes,P,Enseignement
Fonds de solidarité,VOLET1,42662,57338113.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,20568,25268792.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,44933,55125791.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services
Fonds de solidarité,VOLET1,2997,4125146.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,8,12000.00,27,Bourgogne-Franche-Comté,B,Industries extractives
Fonds de solidarité,VOLET1,5057,6381396.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière
Fonds de solidarité,VOLET1,14,18334.00,27,Bourgogne-Franche-Comté,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,413,521077.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,12588,18055285.00,27,Bourgogne-Franche-Comté,F,Construction
Fonds de solidarité,VOLET1,20634,27241161.00,27,Bourgogne-Franche-Comté,G,Commerce
Fonds de solidarité,VOLET1,2250,3069111.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage
Fonds de solidarité,VOLET1,15296,21845403.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration
Fonds de solidarité,VOLET1,1306,1638140.00,27,Bourgogne-Franche-Comté,J,Information et communication
Fonds de solidarité,VOLET1,774,1053394.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,2708,3591476.00,27,Bourgogne-Franche-Comté,L,Activités immobilières
Fonds de solidarité,VOLET1,7337,9930930.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,3644,4629743.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,8,10650.00,27,Bourgogne-Franche-Comté,O,Administration publique
Fonds de solidarité,VOLET1,5258,6356698.00,27,Bourgogne-Franche-Comté,P,Enseignement
Fonds de solidarité,VOLET1,9387,12518668.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,5196,6226359.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,13829,17137242.00,27,Bourgogne-Franche-Comté,S,Autres activités de services
Fonds de solidarité,VOLET1,2544,3474634.00,53,Bretagne,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,10,15000.00,53,Bretagne,B,Industries extractives
Fonds de solidarité,VOLET1,6854,8458205.00,53,Bretagne,C,Industrie manufacturière
Fonds de solidarité,VOLET1,22,31245.00,53,Bretagne,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,275,330900.00,53,Bretagne,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,14253,20410579.00,53,Bretagne,F,Construction
Fonds de solidarité,VOLET1,22483,30181445.00,53,Bretagne,G,Commerce
Fonds de solidarité,VOLET1,2900,3995345.00,53,Bretagne,H,Transports et entreposage
Fonds de solidarité,VOLET1,20789,29863317.00,53,Bretagne,I,Hébergement et restauration
Fonds de solidarité,VOLET1,2113,2663115.00,53,Bretagne,J,Information et communication
Fonds de solidarité,VOLET1,969,1366457.00,53,Bretagne,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,3986,5243668.00,53,Bretagne,L,Activités immobilières
Fonds de solidarité,VOLET1,10936,14736837.00,53,Bretagne,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,4686,5839177.00,53,Bretagne,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,6,9000.00,53,Bretagne,O,Administration publique
Fonds de solidarité,VOLET1,5863,7213633.00,53,Bretagne,P,Enseignement
Fonds de solidarité,VOLET1,15568,21068209.00,53,Bretagne,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,6449,7751281.00,53,Bretagne,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,15542,19328655.00,53,Bretagne,S,Autres activités de services
Fonds de solidarité,VOLET1,2210,3044392.00,24,Centre-Val de Loire,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,4279,5455350.00,24,Centre-Val de Loire,C,Industrie manufacturière
Fonds de solidarité,VOLET1,8,12000.00,24,Centre-Val de Loire,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,252,259929.00,24,Centre-Val de Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,12504,17888921.00,24,Centre-Val de Loire,F,Construction
Fonds de solidarité,VOLET1,16700,21850641.00,24,Centre-Val de Loire,G,Commerce
Fonds de solidarité,VOLET1,2760,3893489.00,24,Centre-Val de Loire,H,Transports et entreposage
Fonds de solidarité,VOLET1,12235,17570725.00,24,Centre-Val de Loire,I,Hébergement et restauration
Fonds de solidarité,VOLET1,1425,1853979.00,24,Centre-Val de Loire,J,Information et communication
Fonds de solidarité,VOLET1,661,924260.00,24,Centre-Val de Loire,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,2794,3758182.00,24,Centre-Val de Loire,L,Activités immobilières
Fonds de solidarité,VOLET1,6856,9276399.00,24,Centre-Val de Loire,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,3673,4650984.00,24,Centre-Val de Loire,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,5,3895.00,24,Centre-Val de Loire,O,Administration publique
Fonds de solidarité,VOLET1,4319,5395072.00,24,Centre-Val de Loire,P,Enseignement
Fonds de solidarité,VOLET1,7991,10606831.00,24,Centre-Val de Loire,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,4634,5696891.00,24,Centre-Val de Loire,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,12403,15367935.00,24,Centre-Val de Loire,S,Autres activités de services
Fonds de solidarité,VOLET1,1994,2760622.00,94,Corse,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,1659,2189905.00,94,Corse,C,Industrie manufacturière
Fonds de solidarité,VOLET1,25,36026.00,94,Corse,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,4182,5939640.00,94,Corse,F,Construction
Fonds de solidarité,VOLET1,4358,6080449.00,94,Corse,G,Commerce
Fonds de solidarité,VOLET1,657,937526.00,94,Corse,H,Transports et entreposage
Fonds de solidarité,VOLET1,4503,6464134.00,94,Corse,I,Hébergement et restauration
Fonds de solidarité,VOLET1,297,396528.00,94,Corse,J,Information et communication
Fonds de solidarité,VOLET1,109,151890.00,94,Corse,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,1057,1448122.00,94,Corse,L,Activités immobilières
Fonds de solidarité,VOLET1,2863,3996647.00,94,Corse,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,1618,2058138.00,94,Corse,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,847,1038564.00,94,Corse,P,Enseignement
Fonds de solidarité,VOLET1,1591,2145401.00,94,Corse,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,890,1151350.00,94,Corse,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,2437,2921417.00,94,Corse,S,Autres activités de services
Fonds de solidarité,VOLET1,4121,5735008.00,44,Grand Est,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,10,12654.00,44,Grand Est,B,Industries extractives
Fonds de solidarité,VOLET1,8867,11564720.00,44,Grand Est,C,Industrie manufacturière
Fonds de solidarité,VOLET1,20,26289.00,44,Grand Est,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,863,1036793.00,44,Grand Est,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,26065,37512027.00,44,Grand Est,F,Construction
Fonds de solidarité,VOLET1,37368,49809415.00,44,Grand Est,G,Commerce
Fonds de solidarité,VOLET1,5749,7837484.00,44,Grand Est,H,Transports et entreposage
Fonds de solidarité,VOLET1,24668,35623370.00,44,Grand Est,I,Hébergement et restauration
Fonds de solidarité,VOLET1,2904,3729297.00,44,Grand Est,J,Information et communication
Fonds de solidarité,VOLET1,1602,2223308.00,44,Grand Est,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,4610,6236350.00,44,Grand Est,L,Activités immobilières
Fonds de solidarité,VOLET1,16019,21543827.00,44,Grand Est,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,7103,9066892.00,44,Grand Est,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,4,6000.00,44,Grand Est,O,Administration publique
Fonds de solidarité,VOLET1,8915,10916548.00,44,Grand Est,P,Enseignement
Fonds de solidarité,VOLET1,18846,25746795.00,44,Grand Est,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,8567,10209747.00,44,Grand Est,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,28008,33838535.00,44,Grand Est,S,Autres activités de services
Fonds de solidarité,VOLET1,3031,4211133.00,01,Guadeloupe,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,2198,3071367.00,01,Guadeloupe,C,Industrie manufacturière
Fonds de solidarité,VOLET1,11,16500.00,01,Guadeloupe,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,46,68500.00,01,Guadeloupe,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,3764,5445662.00,01,Guadeloupe,F,Construction
Fonds de solidarité,VOLET1,5813,8062829.00,01,Guadeloupe,G,Commerce
Fonds de solidarité,VOLET1,1394,1970516.00,01,Guadeloupe,H,Transports et entreposage
Fonds de solidarité,VOLET1,3853,5527905.00,01,Guadeloupe,I,Hébergement et restauration
Fonds de solidarité,VOLET1,532,733727.00,01,Guadeloupe,J,Information et communication
Fonds de solidarité,VOLET1,197,272352.00,01,Guadeloupe,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,814,1133608.00,01,Guadeloupe,L,Activités immobilières
Fonds de solidarité,VOLET1,2204,3096211.00,01,Guadeloupe,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,2484,3384739.00,01,Guadeloupe,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,1271,1627658.00,01,Guadeloupe,P,Enseignement
Fonds de solidarité,VOLET1,1830,2589565.00,01,Guadeloupe,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,827,1106829.00,01,Guadeloupe,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,2229,2907827.00,01,Guadeloupe,S,Autres activités de services
Fonds de solidarité,VOLET1,1062,1445760.00,03,Guyane,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,10,15000.00,03,Guyane,B,Industries extractives
Fonds de solidarité,VOLET1,488,688161.00,03,Guyane,C,Industrie manufacturière
Fonds de solidarité,VOLET1,6,9000.00,03,Guyane,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,1108,1616798.00,03,Guyane,F,Construction
Fonds de solidarité,VOLET1,1188,1683888.00,03,Guyane,G,Commerce
Fonds de solidarité,VOLET1,339,492958.00,03,Guyane,H,Transports et entreposage
Fonds de solidarité,VOLET1,810,1151641.00,03,Guyane,I,Hébergement et restauration
Fonds de solidarité,VOLET1,105,150801.00,03,Guyane,J,Information et communication
Fonds de solidarité,VOLET1,65,93890.00,03,Guyane,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,93,128016.00,03,Guyane,L,Activités immobilières
Fonds de solidarité,VOLET1,537,760774.00,03,Guyane,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,492,691906.00,03,Guyane,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,260,360028.00,03,Guyane,P,Enseignement
Fonds de solidarité,VOLET1,334,476134.00,03,Guyane,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,181,247404.00,03,Guyane,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,421,567799.00,03,Guyane,S,Autres activités de services
Fonds de solidarité,VOLET1,2372,3236634.00,32,Hauts-de-France,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,4,5431.00,32,Hauts-de-France,B,Industries extractives
Fonds de solidarité,VOLET1,6860,8537026.00,32,Hauts-de-France,C,Industrie manufacturière
Fonds de solidarité,VOLET1,19,27525.00,32,Hauts-de-France,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,384,467805.00,32,Hauts-de-France,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,21959,31191879.00,32,Hauts-de-France,F,Construction
Fonds de solidarité,VOLET1,36556,46744243.00,32,Hauts-de-France,G,Commerce
Fonds de solidarité,VOLET1,9038,12436979.00,32,Hauts-de-France,H,Transports et entreposage
Fonds de solidarité,VOLET1,24167,34914747.00,32,Hauts-de-France,I,Hébergement et restauration
Fonds de solidarité,VOLET1,2896,3746848.00,32,Hauts-de-France,J,Information et communication
Fonds de solidarité,VOLET1,1667,2336095.00,32,Hauts-de-France,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,4405,5929905.00,32,Hauts-de-France,L,Activités immobilières
Fonds de solidarité,VOLET1,15682,21342262.00,32,Hauts-de-France,M,"Activités spécialisées, scientifiques et techniques"
