dispositif,nombre_reports,montant_total,reg,libelle_region,code_section,libelle_section
Reports d'échéances fiscales,16.00,169062.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche"
Reports d'échéances fiscales,3.00,77620.00,84,Auvergne-Rhône-Alpes,B,Industries extractives
Reports d'échéances fiscales,798.00,54439764.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière
Reports d'échéances fiscales,12.00,650202.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Reports d'échéances fiscales,22.00,2503672.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Reports d'échéances fiscales,819.00,21481626.00,84,Auvergne-Rhône-Alpes,F,Construction
Reports d'échéances fiscales,1803.00,72263269.00,84,Auvergne-Rhône-Alpes,G,Commerce
Reports d'échéances fiscales,196.00,9131307.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage
Reports d'échéances fiscales,855.00,9825168.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration
Reports d'échéances fiscales,211.00,10643529.00,84,Auvergne-Rhône-Alpes,J,Information et communication
Reports d'échéances fiscales,389.00,18636266.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance
Reports d'échéances fiscales,659.00,10834673.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières
Reports d'échéances fiscales,936.00,34853870.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,344.00,11443617.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,111.00,1575873.00,84,Auvergne-Rhône-Alpes,P,Enseignement
Reports d'échéances fiscales,316.00,8844359.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale
Reports d'échéances fiscales,124.00,10720846.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives"
Reports d'échéances fiscales,185.00,2375134.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services
Reports d'échéances fiscales,52.00,600519.00,84,Auvergne-Rhône-Alpes,Z,Non connu
Reports d'échéances fiscales,27.00,446429.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche"
Reports d'échéances fiscales,249.00,22003863.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière
Reports d'échéances fiscales,6.00,121449.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Reports d'échéances fiscales,174.00,2367442.00,27,Bourgogne-Franche-Comté,F,Construction
Reports d'échéances fiscales,494.00,15041969.00,27,Bourgogne-Franche-Comté,G,Commerce
Reports d'échéances fiscales,82.00,2086243.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage
Reports d'échéances fiscales,280.00,1487409.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration
Reports d'échéances fiscales,25.00,929885.00,27,Bourgogne-Franche-Comté,J,Information et communication
Reports d'échéances fiscales,59.00,2396766.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance
Reports d'échéances fiscales,169.00,2629853.00,27,Bourgogne-Franche-Comté,L,Activités immobilières
Reports d'échéances fiscales,190.00,3334819.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,57.00,1470614.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,17.00,62769.00,27,Bourgogne-Franche-Comté,P,Enseignement
Reports d'échéances fiscales,86.00,2621710.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale
Reports d'échéances fiscales,35.00,3388807.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives"
Reports d'échéances fiscales,64.00,267578.00,27,Bourgogne-Franche-Comté,S,Autres activités de services
Reports d'échéances fiscales,38.00,528729.00,27,Bourgogne-Franche-Comté,Z,Non connu
Reports d'échéances fiscales,26.00,334556.00,53,Bretagne,A,"Agriculture, sylviculture et pêche"
Reports d'échéances fiscales,274.00,19213581.00,53,Bretagne,C,Industrie manufacturière
Reports d'échéances fiscales,4.00,70951.00,53,Bretagne,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Reports d'échéances fiscales,332.00,13032882.00,53,Bretagne,F,Construction
Reports d'échéances fiscales,686.00,16173391.00,53,Bretagne,G,Commerce
Reports d'échéances fiscales,75.00,3606225.00,53,Bretagne,H,Transports et entreposage
Reports d'échéances fiscales,533.00,6876187.00,53,Bretagne,I,Hébergement et restauration
Reports d'échéances fiscales,53.00,2683040.00,53,Bretagne,J,Information et communication
Reports d'échéances fiscales,171.00,6925359.00,53,Bretagne,K,Activités financières et d'assurance
Reports d'échéances fiscales,246.00,3644028.00,53,Bretagne,L,Activités immobilières
Reports d'échéances fiscales,285.00,5593169.00,53,Bretagne,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,86.00,1668257.00,53,Bretagne,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,33.00,475396.00,53,Bretagne,P,Enseignement
Reports d'échéances fiscales,104.00,5763749.00,53,Bretagne,Q,Santé humaine et action sociale
Reports d'échéances fiscales,46.00,986691.00,53,Bretagne,R,"Arts, spectacles et activités récréatives"
Reports d'échéances fiscales,73.00,179227.00,53,Bretagne,S,Autres activités de services
Reports d'échéances fiscales,20.00,414787.00,53,Bretagne,Z,Non connu
Reports d'échéances fiscales,14.00,528881.00,24,Centre-Val de Loire,A,"Agriculture, sylviculture et pêche"
Reports d'échéances fiscales,200.00,9137316.00,24,Centre-Val de Loire,C,Industrie manufacturière
Reports d'échéances fiscales,3.00,19533.00,24,Centre-Val de Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Reports d'échéances fiscales,184.00,3273996.00,24,Centre-Val de Loire,F,Construction
Reports d'échéances fiscales,440.00,12773579.00,24,Centre-Val de Loire,G,Commerce
Reports d'échéances fiscales,80.00,1764220.00,24,Centre-Val de Loire,H,Transports et entreposage
Reports d'échéances fiscales,230.00,1574612.00,24,Centre-Val de Loire,I,Hébergement et restauration
Reports d'échéances fiscales,35.00,835215.00,24,Centre-Val de Loire,J,Information et communication
Reports d'échéances fiscales,93.00,1493101.00,24,Centre-Val de Loire,K,Activités financières et d'assurance
Reports d'échéances fiscales,158.00,1200160.00,24,Centre-Val de Loire,L,Activités immobilières
Reports d'échéances fiscales,152.00,2749088.00,24,Centre-Val de Loire,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,56.00,960973.00,24,Centre-Val de Loire,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,14.00,35261.00,24,Centre-Val de Loire,P,Enseignement
Reports d'échéances fiscales,61.00,4169690.00,24,Centre-Val de Loire,Q,Santé humaine et action sociale
Reports d'échéances fiscales,20.00,993734.00,24,Centre-Val de Loire,R,"Arts, spectacles et activités récréatives"
Reports d'échéances fiscales,52.00,176973.00,24,Centre-Val de Loire,S,Autres activités de services
Reports d'échéances fiscales,32.00,231440.00,24,Centre-Val de Loire,Z,Non connu
Reports d'échéances fiscales,4.00,6106.00,94,Corse,A,"Agriculture, sylviculture et pêche"
Reports d'échéances fiscales,27.00,1003220.00,94,Corse,C,Industrie manufacturière
Reports d'échéances fiscales,8.00,837421.00,94,Corse,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Reports d'échéances fiscales,3.00,27000.00,94,Corse,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Reports d'échéances fiscales,63.00,1936383.00,94,Corse,F,Construction
Reports d'échéances fiscales,153.00,2307494.00,94,Corse,G,Commerce
Reports d'échéances fiscales,17.00,221935.00,94,Corse,H,Transports et entreposage
Reports d'échéances fiscales,104.00,1370062.00,94,Corse,I,Hébergement et restauration
Reports d'échéances fiscales,8.00,272199.00,94,Corse,J,Information et communication
Reports d'échéances fiscales,21.00,372975.00,94,Corse,K,Activités financières et d'assurance
Reports d'échéances fiscales,50.00,445872.00,94,Corse,L,Activités immobilières
Reports d'échéances fiscales,48.00,354418.00,94,Corse,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,22.00,351131.00,94,Corse,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,5.00,9534.00,94,Corse,P,Enseignement
Reports d'échéances fiscales,21.00,285814.00,94,Corse,Q,Santé humaine et action sociale
Reports d'échéances fiscales,9.00,983674.00,94,Corse,R,"Arts, spectacles et activités récréatives"
Reports d'échéances fiscales,5.00,17970.00,94,Corse,S,Autres activités de services
Reports d'échéances fiscales,8.00,190784.00,94,Corse,Z,Non connu
Reports d'échéances fiscales,70.00,1500950.00,44,Grand Est,A,"Agriculture, sylviculture et pêche"
Reports d'échéances fiscales,423.00,42896996.00,44,Grand Est,C,Industrie manufacturière
Reports d'échéances fiscales,7.00,83837.00,44,Grand Est,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Reports d'échéances fiscales,473.00,8666494.00,44,Grand Est,F,Construction
Reports d'échéances fiscales,1018.00,41609271.00,44,Grand Est,G,Commerce
Reports d'échéances fiscales,117.00,4751998.00,44,Grand Est,H,Transports et entreposage
Reports d'échéances fiscales,526.00,5867238.00,44,Grand Est,I,Hébergement et restauration
Reports d'échéances fiscales,62.00,862284.00,44,Grand Est,J,Information et communication
Reports d'échéances fiscales,204.00,5860728.00,44,Grand Est,K,Activités financières et d'assurance
Reports d'échéances fiscales,388.00,4662789.00,44,Grand Est,L,Activités immobilières
Reports d'échéances fiscales,356.00,5876004.00,44,Grand Est,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,159.00,3036673.00,44,Grand Est,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,53.00,806078.00,44,Grand Est,P,Enseignement
Reports d'échéances fiscales,203.00,6475723.00,44,Grand Est,Q,Santé humaine et action sociale
Reports d'échéances fiscales,55.00,3578893.00,44,Grand Est,R,"Arts, spectacles et activités récréatives"
Reports d'échéances fiscales,114.00,560779.00,44,Grand Est,S,Autres activités de services
Reports d'échéances fiscales,51.00,1728059.00,44,Grand Est,Z,Non connu
Reports d'échéances fiscales,5.00,13244.00,01,Guadeloupe,C,Industrie manufacturière
Reports d'échéances fiscales,3.00,193882.00,01,Guadeloupe,F,Construction
Reports d'échéances fiscales,20.00,1667899.00,01,Guadeloupe,G,Commerce
Reports d'échéances fiscales,4.00,25152.00,01,Guadeloupe,I,Hébergement et restauration
Reports d'échéances fiscales,4.00,72931.00,01,Guadeloupe,J,Information et communication
Reports d'échéances fiscales,4.00,6618.00,01,Guadeloupe,K,Activités financières et d'assurance
Reports d'échéances fiscales,5.00,591277.00,01,Guadeloupe,L,Activités immobilières
Reports d'échéances fiscales,4.00,72587.00,01,Guadeloupe,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,6.00,71607.00,01,Guadeloupe,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,7.00,227632.00,01,Guadeloupe,Q,Santé humaine et action sociale
Reports d'échéances fiscales,5.00,98258.00,01,Guadeloupe,Z,Non connu
Reports d'échéances fiscales,3.00,74473.00,03,Guyane,C,Industrie manufacturière
Reports d'échéances fiscales,44.00,858215.00,03,Guyane,G,Commerce
Reports d'échéances fiscales,5.00,179230.00,03,Guyane,H,Transports et entreposage
Reports d'échéances fiscales,6.00,55874.00,03,Guyane,I,Hébergement et restauration
Reports d'échéances fiscales,4.00,28265.00,03,Guyane,L,Activités immobilières
Reports d'échéances fiscales,3.00,187822.00,03,Guyane,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,5.00,57241.00,03,Guyane,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,5.00,162625.00,03,Guyane,Q,Santé humaine et action sociale
Reports d'échéances fiscales,11.00,125396.00,03,Guyane,Z,Non connu
Reports d'échéances fiscales,9.00,337869.00,32,Hauts-de-France,A,"Agriculture, sylviculture et pêche"
Reports d'échéances fiscales,402.00,50306529.00,32,Hauts-de-France,C,Industrie manufacturière
Reports d'échéances fiscales,32.00,615548.00,32,Hauts-de-France,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Reports d'échéances fiscales,15.00,1024866.00,32,Hauts-de-France,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Reports d'échéances fiscales,416.00,24785255.00,32,Hauts-de-France,F,Construction
Reports d'échéances fiscales,1058.00,106484825.00,32,Hauts-de-France,G,Commerce
Reports d'échéances fiscales,155.00,4288869.00,32,Hauts-de-France,H,Transports et entreposage
Reports d'échéances fiscales,561.00,4248993.00,32,Hauts-de-France,I,Hébergement et restauration
Reports d'échéances fiscales,100.00,3612891.00,32,Hauts-de-France,J,Information et communication
Reports d'échéances fiscales,203.00,3851710.00,32,Hauts-de-France,K,Activités financières et d'assurance
Reports d'échéances fiscales,321.00,4618109.00,32,Hauts-de-France,L,Activités immobilières
Reports d'échéances fiscales,404.00,8618503.00,32,Hauts-de-France,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,177.00,9130554.00,32,Hauts-de-France,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,67.00,470201.00,32,Hauts-de-France,P,Enseignement
Reports d'échéances fiscales,167.00,4349187.00,32,Hauts-de-France,Q,Santé humaine et action sociale
Reports d'échéances fiscales,57.00,2944693.00,32,Hauts-de-France,R,"Arts, spectacles et activités récréatives"
Reports d'échéances fiscales,175.00,957882.00,32,Hauts-de-France,S,Autres activités de services
Reports d'échéances fiscales,36.00,452971.00,32,Hauts-de-France,Z,Non connu
Reports d'échéances fiscales,60.00,2778690.00,04,La Réunion,C,Industrie manufacturière
Reports d'échéances fiscales,51.00,1138630.00,04,La Réunion,F,Construction
Reports d'échéances fiscales,192.00,4972330.00,04,La Réunion,G,Commerce
Reports d'échéances fiscales,25.00,359208.00,04,La Réunion,H,Transports et entreposage
Reports d'échéances fiscales,45.00,537439.00,04,La Réunion,I,Hébergement et restauration
Reports d'échéances fiscales,23.00,162962.00,04,La Réunion,J,Information et communication
Reports d'échéances fiscales,30.00,2241719.00,04,La Réunion,K,Activités financières et d'assurance
Reports d'échéances fiscales,66.00,737719.00,04,La Réunion,L,Activités immobilières
Reports d'échéances fiscales,50.00,1714278.00,04,La Réunion,M,"Activités spécialisées, scientifiques et techniques"
Reports d'échéances fiscales,24.00,289244.00,04,La Réunion,N,Activités de services administratifs et de soutien
Reports d'échéances fiscales,14.00,76799.00,04,La Réunion,P,Enseignement
Reports d'échéances fiscales,24.00,1031796.00,04,La Réunion,Q,Santé humaine et action sociale
Reports d'échéances fiscales,6.00,1748568.00,04,La Réunion,R,"Arts, spectacles et activités récréatives"
Reports d'échéances fiscales,12.00,27560.00,04,La Réunion,Z,Non connu
