dispositif,nombre_reports,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Reports d'échéances fiscales,300.00,5829685.00,53,Bretagne,M,"Activités spécialisées, scientifiques et techniques",2020-09-03
Reports d'échéances fiscales,107.00,2685700.00,53,Bretagne,N,Activités de services administratifs et de soutien,2020-09-03
Reports d'échéances fiscales,41.00,496193.00,53,Bretagne,P,Enseignement,2020-09-03
Reports d'échéances fiscales,109.00,6163315.00,53,Bretagne,Q,Santé humaine et action sociale,2020-09-03
Reports d'échéances fiscales,56.00,1009376.00,53,Bretagne,R,"Arts, spectacles et activités récréatives",2020-09-03
Reports d'échéances fiscales,78.00,225649.00,53,Bretagne,S,Autres activités de services,2020-09-03
Reports d'échéances fiscales,21.00,450497.00,53,Bretagne,Z,Non connu,2020-09-03
Reports d'échéances fiscales,15.00,529155.00,24,Centre-Val de Loire,A,"Agriculture, sylviculture et pêche",2020-09-03
Reports d'échéances fiscales,224.00,14626754.00,24,Centre-Val de Loire,C,Industrie manufacturière,2020-09-03
Reports d'échéances fiscales,3.00,19533.00,24,Centre-Val de Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-09-03
Reports d'échéances fiscales,199.00,3686995.00,24,Centre-Val de Loire,F,Construction,2020-09-03
Reports d'échéances fiscales,475.00,17482770.00,24,Centre-Val de Loire,G,Commerce,2020-09-03
Reports d'échéances fiscales,83.00,2058316.00,24,Centre-Val de Loire,H,Transports et entreposage,2020-09-03
Reports d'échéances fiscales,262.00,1818286.00,24,Centre-Val de Loire,I,Hébergement et restauration,2020-09-03
Reports d'échéances fiscales,39.00,921976.00,24,Centre-Val de Loire,J,Information et communication,2020-09-03
Reports d'échéances fiscales,102.00,1752807.00,24,Centre-Val de Loire,K,Activités financières et d'assurance,2020-09-03
Reports d'échéances fiscales,177.00,1320108.00,24,Centre-Val de Loire,L,Activités immobilières,2020-09-03
Reports d'échéances fiscales,160.00,2831892.00,24,Centre-Val de Loire,M,"Activités spécialisées, scientifiques et techniques",2020-09-03
Reports d'échéances fiscales,61.00,1073996.00,24,Centre-Val de Loire,N,Activités de services administratifs et de soutien,2020-09-03
Reports d'échéances fiscales,20.00,156121.00,24,Centre-Val de Loire,P,Enseignement,2020-09-03
Reports d'échéances fiscales,68.00,5151278.00,24,Centre-Val de Loire,Q,Santé humaine et action sociale,2020-09-03
Reports d'échéances fiscales,22.00,1209681.00,24,Centre-Val de Loire,R,"Arts, spectacles et activités récréatives",2020-09-03
Reports d'échéances fiscales,55.00,195752.00,24,Centre-Val de Loire,S,Autres activités de services,2020-09-03
Reports d'échéances fiscales,33.00,238811.00,24,Centre-Val de Loire,Z,Non connu,2020-09-03
Reports d'échéances fiscales,7.00,43204.00,94,Corse,A,"Agriculture, sylviculture et pêche",2020-09-03
Reports d'échéances fiscales,29.00,1005979.00,94,Corse,C,Industrie manufacturière,2020-09-03
Reports d'échéances fiscales,8.00,837421.00,94,Corse,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-09-03
Reports d'échéances fiscales,71.00,2245104.00,94,Corse,F,Construction,2020-09-03
Reports d'échéances fiscales,165.00,2405707.00,94,Corse,G,Commerce,2020-09-03
Reports d'échéances fiscales,17.00,221935.00,94,Corse,H,Transports et entreposage,2020-09-03
Reports d'échéances fiscales,114.00,1393901.00,94,Corse,I,Hébergement et restauration,2020-09-03
Reports d'échéances fiscales,8.00,272199.00,94,Corse,J,Information et communication,2020-09-03
Reports d'échéances fiscales,21.00,372975.00,94,Corse,K,Activités financières et d'assurance,2020-09-03
Reports d'échéances fiscales,55.00,650905.00,94,Corse,L,Activités immobilières,2020-09-03
Reports d'échéances fiscales,49.00,358418.00,94,Corse,M,"Activités spécialisées, scientifiques et techniques",2020-09-03
