dispositif,volet,nombre_aides,nombre_entreprises,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,VOLET1,26975,7507,56915042.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,36,11,53606.00,84,Auvergne-Rhône-Alpes,B,Industries extractives
Fonds de solidarité,VOLET1,45126,11473,109286501.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière
Fonds de solidarité,VOLET1,550,110,1117662.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,1946,564,2787487.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,93449,32176,154947894.00,84,Auvergne-Rhône-Alpes,F,Construction
Fonds de solidarité,VOLET1,176169,39978,602375323.00,84,Auvergne-Rhône-Alpes,G,Commerce
Fonds de solidarité,VOLET1,65317,9981,174738101.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage
Fonds de solidarité,VOLET1,255852,29252,1641759878.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration
Fonds de solidarité,VOLET1,23572,4788,57440328.00,84,Auvergne-Rhône-Alpes,J,Information et communication
Fonds de solidarité,VOLET1,8841,2097,18705466.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,36641,8420,90842760.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières
Fonds de solidarité,VOLET1,113563,25156,352833008.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,53740,11250,193720088.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,18,6,179742.00,84,Auvergne-Rhône-Alpes,O,Administration publique
Fonds de solidarité,VOLET1,128382,19529,281065065.00,84,Auvergne-Rhône-Alpes,P,Enseignement
Fonds de solidarité,VOLET1,60307,23686,82704493.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,100680,13422,312943816.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,105745,24235,216207584.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services
Fonds de solidarité,VOLET1,9537,2890,32476944.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,20,6,39062.00,27,Bourgogne-Franche-Comté,B,Industries extractives
Fonds de solidarité,VOLET1,12027,3237,24530021.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière
Fonds de solidarité,VOLET1,36,13,70644.00,27,Bourgogne-Franche-Comté,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,907,258,1491688.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,21243,8045,33439513.00,27,Bourgogne-Franche-Comté,F,Construction
Fonds de solidarité,VOLET1,51199,12284,142791754.00,27,Bourgogne-Franche-Comté,G,Commerce
Fonds de solidarité,VOLET1,6905,1533,18669341.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage
Fonds de solidarité,VOLET1,71586,8135,407800959.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration
Fonds de solidarité,VOLET1,4176,856,10199373.00,27,Bourgogne-Franche-Comté,J,Information et communication
Fonds de solidarité,VOLET1,1795,454,3264084.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,6863,1711,12924324.00,27,Bourgogne-Franche-Comté,L,Activités immobilières
Fonds de solidarité,VOLET1,21467,4892,68350467.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,10452,2280,33691219.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,25,3,35591.00,27,Bourgogne-Franche-Comté,O,Administration publique
Fonds de solidarité,VOLET1,15974,2772,26826330.00,27,Bourgogne-Franche-Comté,P,Enseignement
Fonds de solidarité,VOLET1,13115,5281,17386741.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,25047,3247,76465867.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,31165,7342,61428359.00,27,Bourgogne-Franche-Comté,S,Autres activités de services
Fonds de solidarité,VOLET1,6090,1865,15107730.00,53,Bretagne,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,19,5,30275.00,53,Bretagne,B,Industries extractives
Fonds de solidarité,VOLET1,16301,4193,31223956.00,53,Bretagne,C,Industrie manufacturière
Fonds de solidarité,VOLET1,43,13,82748.00,53,Bretagne,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,459,159,707137.00,53,Bretagne,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,21258,9066,32830542.00,53,Bretagne,F,Construction
Fonds de solidarité,VOLET1,54675,13266,167689015.00,53,Bretagne,G,Commerce
Fonds de solidarité,VOLET1,9833,1862,26573742.00,53,Bretagne,H,Transports et entreposage
Fonds de solidarité,VOLET1,97286,11268,600886465.00,53,Bretagne,I,Hébergement et restauration
Fonds de solidarité,VOLET1,7233,1434,19467324.00,53,Bretagne,J,Information et communication
Fonds de solidarité,VOLET1,2396,623,6017724.00,53,Bretagne,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,9104,2425,18667912.00,53,Bretagne,L,Activités immobilières
Fonds de solidarité,VOLET1,32416,7453,108541420.00,53,Bretagne,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,12558,2941,43896395.00,53,Bretagne,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,17094,3139,31403890.00,53,Bretagne,P,Enseignement
Fonds de solidarité,VOLET1,21302,8867,28892547.00,53,Bretagne,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,30768,4408,99274588.00,53,Bretagne,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,34793,8563,70256425.00,53,Bretagne,S,Autres activités de services
Fonds de solidarité,VOLET1,6550,1814,24268489.00,24,Centre-Val de Loire,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,10273,2666,20937957.00,24,Centre-Val de Loire,C,Industrie manufacturière
Fonds de solidarité,VOLET1,28,5,46998.00,24,Centre-Val de Loire,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,491,153,667931.00,24,Centre-Val de Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,20171,7731,32185913.00,24,Centre-Val de Loire,F,Construction
Fonds de solidarité,VOLET1,39936,9888,110804671.00,24,Centre-Val de Loire,G,Commerce
Fonds de solidarité,VOLET1,10028,1945,23703600.00,24,Centre-Val de Loire,H,Transports et entreposage
Fonds de solidarité,VOLET1,56548,6566,318467583.00,24,Centre-Val de Loire,I,Hébergement et restauration
Fonds de solidarité,VOLET1,4604,963,12586382.00,24,Centre-Val de Loire,J,Information et communication
Fonds de solidarité,VOLET1,1638,398,3585203.00,24,Centre-Val de Loire,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,6863,1672,13417145.00,24,Centre-Val de Loire,L,Activités immobilières
Fonds de solidarité,VOLET1,19809,4479,58421009.00,24,Centre-Val de Loire,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,10236,2291,31873489.00,24,Centre-Val de Loire,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,12137,2297,22716048.00,24,Centre-Val de Loire,P,Enseignement
Fonds de solidarité,VOLET1,11146,4526,14641270.00,24,Centre-Val de Loire,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,22467,3088,72202324.00,24,Centre-Val de Loire,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,27537,6635,53586534.00,24,Centre-Val de Loire,S,Autres activités de services
Fonds de solidarité,VOLET1,5157,1139,10623337.00,94,Corse,A,"Agriculture, sylviculture et pêche"
