dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Prêts garantis par l'Etat,2158.00,113563233.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche",2021-04-16
Prêts garantis par l'Etat,18.00,6202000.00,84,Auvergne-Rhône-Alpes,B,Industries extractives,2021-04-16
Prêts garantis par l'Etat,7808.00,2775312367.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière,2021-04-16
Prêts garantis par l'Etat,14.00,1015830.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-04-16
Prêts garantis par l'Etat,191.00,70447753.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-04-16
Prêts garantis par l'Etat,12409.00,1518835064.00,84,Auvergne-Rhône-Alpes,F,Construction,2021-04-16
Prêts garantis par l'Etat,19801.00,3809179709.00,84,Auvergne-Rhône-Alpes,G,Commerce,2021-04-16
Prêts garantis par l'Etat,2429.00,484214134.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage,2021-04-16
Prêts garantis par l'Etat,13200.00,1228943685.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration,2021-04-16
Prêts garantis par l'Etat,1672.00,422030973.00,84,Auvergne-Rhône-Alpes,J,Information et communication,2021-04-16
Prêts garantis par l'Etat,1438.00,1290618630.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance,2021-04-16
Prêts garantis par l'Etat,1975.00,207258265.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières,2021-04-16
Prêts garantis par l'Etat,7745.00,1679733579.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques",2021-04-16
Prêts garantis par l'Etat,3284.00,446041239.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien,2021-04-16
Prêts garantis par l'Etat,1764.00,115006894.00,84,Auvergne-Rhône-Alpes,P,Enseignement,2021-04-16
Prêts garantis par l'Etat,5394.00,336776763.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale,2021-04-16
Prêts garantis par l'Etat,1749.00,344369042.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives",2021-04-16
Prêts garantis par l'Etat,4921.00,159889994.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services,2021-04-16
Prêts garantis par l'Etat,77.00,8472090.00,84,Auvergne-Rhône-Alpes,Z,Non connu,2021-04-16
Prêts garantis par l'Etat,1324.00,110911741.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche",2021-04-16
Prêts garantis par l'Etat,14.00,4922500.00,27,Bourgogne-Franche-Comté,B,Industries extractives,2021-04-16
Prêts garantis par l'Etat,2336.00,910266842.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière,2021-04-16
Prêts garantis par l'Etat,3.00,137000.00,27,Bourgogne-Franche-Comté,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-04-16
Prêts garantis par l'Etat,68.00,13912754.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-04-16
Prêts garantis par l'Etat,3424.00,355534198.00,27,Bourgogne-Franche-Comté,F,Construction,2021-04-16
Prêts garantis par l'Etat,6050.00,923543217.00,27,Bourgogne-Franche-Comté,G,Commerce,2021-04-16
Prêts garantis par l'Etat,585.00,85280380.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage,2021-04-16
Prêts garantis par l'Etat,3551.00,237347360.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration,2021-04-16
Prêts garantis par l'Etat,291.00,39661163.00,27,Bourgogne-Franche-Comté,J,Information et communication,2021-04-16
Prêts garantis par l'Etat,376.00,309037769.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance,2021-04-16
Prêts garantis par l'Etat,459.00,36206866.00,27,Bourgogne-Franche-Comté,L,Activités immobilières,2021-04-16
Prêts garantis par l'Etat,1553.00,241033607.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques",2021-04-16
Prêts garantis par l'Etat,710.00,117216918.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien,2021-04-16
Prêts garantis par l'Etat,419.00,25444824.00,27,Bourgogne-Franche-Comté,P,Enseignement,2021-04-16
Prêts garantis par l'Etat,1547.00,83103776.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale,2021-04-16
Prêts garantis par l'Etat,496.00,47565236.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives",2021-04-16
Prêts garantis par l'Etat,1568.00,41029828.00,27,Bourgogne-Franche-Comté,S,Autres activités de services,2021-04-16
Prêts garantis par l'Etat,29.00,3010813.00,27,Bourgogne-Franche-Comté,Z,Non connu,2021-04-16
