dispositif,nombre_reports,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Reports d'échéances fiscales,17.00,186297.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche",2020-06-25
Reports d'échéances fiscales,3.00,77620.00,84,Auvergne-Rhône-Alpes,B,Industries extractives,2020-06-25
Reports d'échéances fiscales,879.00,61514088.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière,2020-06-25
Reports d'échéances fiscales,8.00,1174843.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-06-25
Reports d'échéances fiscales,25.00,2652062.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-06-25
Reports d'échéances fiscales,868.00,22655814.00,84,Auvergne-Rhône-Alpes,F,Construction,2020-06-25
Reports d'échéances fiscales,1904.00,79416962.00,84,Auvergne-Rhône-Alpes,G,Commerce,2020-06-25
Reports d'échéances fiscales,206.00,9244950.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage,2020-06-25
Reports d'échéances fiscales,927.00,11334417.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration,2020-06-25
Reports d'échéances fiscales,217.00,11041565.00,84,Auvergne-Rhône-Alpes,J,Information et communication,2020-06-25
Reports d'échéances fiscales,405.00,18902207.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance,2020-06-25
Reports d'échéances fiscales,694.00,10915235.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières,2020-06-25
Reports d'échéances fiscales,988.00,36454296.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques",2020-06-25
Reports d'échéances fiscales,361.00,11996069.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien,2020-06-25
Reports d'échéances fiscales,117.00,1666210.00,84,Auvergne-Rhône-Alpes,P,Enseignement,2020-06-25
Reports d'échéances fiscales,329.00,10107591.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale,2020-06-25
